m = 6.07
t,x,y,r,θ
0.000,18.09,31.98,36.74,60.5
0.017,19.59,31.20,36.84,57.9
0.033,21.50,30.32,37.17,54.7
0.050,23.60,29.21,37.55,51.1
0.067,25.51,27.27,37.34,46.9
0.083,27.41,25.36,37.34,42.8
0.100,29.49,23.52,37.72,38.6
0.117,31.57,21.55,38.22,34.3
0.133,33.23,18.88,38.22,29.6
0.150,34.57,15.82,38.02,24.6
0.167,35.90,12.52,38.02,19.2
0.184,37.01,8.981,38.08,13.6
0.200,37.71,5.249,38.07,7.9
0.217,38.04,1.517,38.07,2.3
0.234,38.11,-2.241,38.18,-3.4
0.250,37.72,-5.943,38.19,-9.0
0.267,37.00,-9.600,38.23,-14.5
0.284,36.07,-13.24,38.43,-20.1
0.300,34.86,-16.71,38.66,-25.6
0.317,33.31,-19.88,38.79,-30.8
0.334,31.65,-22.75,38.98,-35.7
0.350,29.94,-25.37,39.24,-40.3
0.367,28.11,-27.66,39.44,-44.5
0.384,26.22,-29.55,39.51,-48.4
0.400,24.37,-31.25,39.63,-52.0
0.417,22.80,-32.29,39.53,-54.8
0.434,21.23,-33.18,39.39,-57.4
0.450,19.86,-33.77,39.18,-59.5
0.467,18.86,-33.86,38.76,-60.9
0.484,17.88,-34.55,38.91,-62.6
0.500,17.15,-35.19,39.15,-64.0
0.517,16.98,-35.11,39.00,-64.2
0.534,16.94,-35.19,39.06,-64.3
0.551,17.11,-35.16,39.10,-64.0
0.567,17.50,-34.91,39.05,-63.4
0.584,18.19,-34.47,38.97,-62.2
0.601,19.09,-34.10,39.08,-60.8
0.617,20.29,-33.36,39.04,-58.7
0.634,21.71,-32.42,39.02,-56.2
0.651,23.23,-31.47,39.11,-53.6
0.667,24.85,-30.30,39.18,-50.6
0.684,26.69,-28.64,39.15,-47.0
0.701,28.56,-26.67,39.08,-43.0
0.717,30.36,-24.47,38.99,-38.9
0.734,32.15,-21.81,38.85,-34.2
0.751,33.83,-18.86,38.73,-29.1
0.767,35.30,-15.66,38.62,-23.9
0.784,36.51,-12.26,38.52,-18.6
0.801,37.44,-8.698,38.44,-13.1
0.817,38.09,-5.080,38.43,-7.6
0.834,38.31,-1.405,38.33,-2.1
0.851,38.23,2.244,38.29,3.4
0.868,37.80,5.887,38.26,8.9
0.884,37.05,9.379,38.22,14.2
0.901,35.97,12.55,38.10,19.2
0.918,34.71,15.61,38.06,24.2
0.934,33.25,18.26,37.94,28.8
0.951,31.69,21.05,38.04,33.6
0.968,29.87,22.77,37.56,37.3
0.984,28.14,24.70,37.44,41.3
1.001,26.28,26.16,37.08,44.9
1.018,24.61,27.57,36.96,48.2
1.034,23.08,28.80,36.91,51.3
1.051,21.71,29.81,36.88,53.9
1.068,20.48,30.68,36.89,56.3
1.084,19.45,31.30,36.85,58.1
1.101,18.61,31.80,36.85,59.7
1.118,17.97,32.12,36.80,60.8
1.134,17.53,32.21,36.67,61.4
1.151,17.36,32.20,36.58,61.7
1.168,17.46,32.14,36.57,61.5
1.185,17.83,31.99,36.62,60.9
1.201,18.57,32.81,37.70,60.5
1.218,19.46,32.36,37.76,59.0
1.235,20.51,31.83,37.86,57.2
1.251,21.75,31.04,37.91,55.0
1.268,23.14,30.17,38.02,52.5
1.285,24.67,29.00,38.08,49.6
1.301,26.30,27.55,38.09,46.3
1.318,28.04,25.83,38.12,42.7
1.335,29.77,23.89,38.16,38.7
1.351,31.47,21.53,38.13,34.4
1.368,33.08,19.04,38.17,29.9
1.385,34.55,16.25,38.19,25.2
1.401,35.82,13.25,38.19,20.3
1.418,36.86,10.07,38.21,15.3
1.435,37.65,6.705,38.24,10.1
1.451,38.13,3.197,38.26,4.8
1.468,38.28,-0.364,38.28,-0.5
1.485,38.11,-3.948,38.32,-5.9
1.502,37.58,-7.436,38.31,-11.2
1.518,36.84,-10.82,38.40,-16.4
1.535,35.80,-14.03,38.45,-21.4
1.552,34.54,-17.20,38.59,-26.5
1.568,33.13,-19.92,38.66,-31.0
1.585,31.51,-22.65,38.80,-35.7
1.602,29.89,-24.98,38.95,-39.9
1.618,28.21,-27.05,39.08,-43.8
1.635,26.62,-28.83,39.24,-47.3
1.652,25.11,-30.33,39.37,-50.4
1.668,23.76,-31.54,39.49,-53.0
1.685,22.54,-32.51,39.56,-55.3
1.702,21.60,-33.10,39.52,-56.9
1.718,20.77,-33.68,39.57,-58.3
1.735,20.12,-34.07,39.57,-59.4
1.752,19.71,-34.35,39.60,-60.2
1.768,19.60,-34.39,39.58,-60.3
1.785,19.71,-34.36,39.61,-60.2
1.802,20.07,-34.14,39.61,-59.5
1.818,20.65,-33.82,39.63,-58.6
1.835,21.45,-33.35,39.65,-57.3
1.852,22.49,-32.54,39.56,-55.3
