m = 72.36
t,x,y,r,θ
0.000,23.24,10.99,25.71,25.3
0.017,23.40,10.73,25.74,24.6
0.033,23.55,10.41,25.75,23.8
0.050,23.79,9.957,25.79,22.7
0.067,24.09,9.240,25.80,21.0
0.083,24.38,8.481,25.81,19.2
0.100,24.69,7.646,25.85,17.2
0.117,24.99,6.675,25.86,15.0
0.133,25.25,5.610,25.87,12.5
0.150,25.48,4.481,25.87,10.0
0.167,25.65,3.284,25.86,7.3
0.184,25.78,2.049,25.86,4.5
0.200,25.85,0.781,25.86,1.7
0.217,25.85,-0.492,25.86,-1.1
0.234,25.80,-1.745,25.86,-3.9
0.250,25.68,-2.979,25.85,-6.6
0.267,25.51,-4.171,25.85,-9.3
0.284,25.31,-5.301,25.85,-11.8
0.300,25.05,-6.345,25.84,-14.2
0.317,24.79,-7.306,25.85,-16.4
0.334,24.51,-8.174,25.83,-18.4
0.350,24.23,-8.943,25.83,-20.3
0.367,23.98,-9.587,25.83,-21.8
0.384,23.75,-10.12,25.82,-23.1
0.400,23.56,-10.56,25.82,-24.1
0.417,23.41,-10.87,25.81,-24.9
0.434,23.32,-11.05,25.81,-25.4
0.450,23.29,-11.12,25.80,-25.5
0.467,23.31,-11.08,25.81,-25.4
0.484,23.39,-10.89,25.80,-25.0
0.500,23.52,-10.59,25.80,-24.2
0.517,23.70,-10.18,25.80,-23.2
0.534,23.92,-9.640,25.79,-21.9
0.551,24.17,-8.976,25.78,-20.4
0.567,24.44,-8.206,25.78,-18.6
0.584,24.72,-7.328,25.79,-16.5
0.601,24.99,-6.362,25.79,-14.3
0.617,25.23,-5.300,25.78,-11.9
0.634,25.44,-4.155,25.78,-9.3
0.651,25.61,-2.961,25.78,-6.6
0.667,25.73,-1.728,25.79,-3.8
0.684,25.78,-0.463,25.78,-1.0
0.701,25.77,0.817,25.78,1.8
0.717,25.71,2.071,25.79,4.6
0.734,25.58,3.321,25.79,7.4
0.751,25.41,4.493,25.80,10.0
0.767,25.19,5.607,25.81,12.5
0.784,24.96,6.663,25.83,14.9
0.801,24.69,7.635,25.85,17.2
0.817,24.42,8.495,25.85,19.2
0.834,24.14,9.264,25.85,21.0
0.851,23.88,9.900,25.85,22.5
0.868,23.67,10.42,25.86,23.8
0.884,23.49,10.82,25.86,24.7
0.901,23.36,11.11,25.87,25.4
0.918,23.29,11.26,25.87,25.8
0.934,23.27,11.29,25.87,25.9
0.951,23.31,11.21,25.86,25.7
0.968,23.41,11.00,25.87,25.2
0.984,23.57,10.66,25.87,24.3
1.001,23.78,10.21,25.88,23.2
1.018,24.01,9.621,25.87,21.8
1.034,24.27,8.926,25.86,20.2
1.051,24.54,8.129,25.86,18.3
1.068,24.83,7.231,25.86,16.2
1.084,25.09,6.243,25.85,14.0
1.101,25.33,5.175,25.86,11.5
1.118,25.53,4.042,25.85,9.0
1.134,25.69,2.853,25.84,6.3
1.151,25.79,1.634,25.84,3.6
1.168,25.85,0.386,25.85,0.9
1.185,25.84,-0.855,25.85,-1.9
1.201,25.76,-2.090,25.84,-4.6
1.218,25.63,-3.293,25.84,-7.3
1.235,25.46,-4.450,25.85,-9.9
1.251,25.24,-5.539,25.85,-12.4
1.268,25.00,-6.566,25.85,-14.7
1.285,24.74,-7.502,25.85,-16.9
1.301,24.47,-8.345,25.85,-18.8
1.318,24.20,-9.084,25.85,-20.6
1.335,23.95,-9.704,25.84,-22.1
1.351,23.74,-10.22,25.85,-23.3
1.368,23.57,-10.62,25.85,-24.3
1.385,23.45,-10.89,25.85,-24.9
1.401,23.37,-11.02,25.83,-25.3
1.418,23.35,-11.04,25.83,-25.3
1.435,23.40,-10.94,25.83,-25.0
1.451,23.50,-10.72,25.83,-24.5
1.468,23.64,-10.38,25.82,-23.7
1.485,23.83,-9.933,25.82,-22.6
1.502,24.05,-9.336,25.80,-21.2
1.518,24.31,-8.649,25.80,-19.6
1.535,24.57,-7.849,25.80,-17.7
1.552,24.84,-6.940,25.79,-15.6
1.568,25.09,-5.950,25.78,-13.3
1.585,25.32,-4.883,25.78,-10.9
1.602,25.50,-3.747,25.77,-8.4
1.618,25.65,-2.566,25.78,-5.7
1.635,25.74,-1.335,25.77,-3.0
1.652,25.77,-9.750E-2,25.77,-0.2
1.668,25.75,1.145,25.77,2.5
1.685,25.66,2.366,25.77,5.3
1.702,25.53,3.561,25.78,7.9
1.718,25.35,4.700,25.78,10.5
1.735,25.13,5.776,25.78,12.9
1.752,24.88,6.775,25.79,15.2
1.768,24.61,7.703,25.78,17.4
1.785,24.35,8.526,25.80,19.3
1.802,24.09,9.234,25.80,21.0
1.818,23.86,9.828,25.80,22.4
1.835,23.65,10.31,25.80,23.6
