m = 72.36
t,x,y,r,θ
0.000,12.29,6.914,14.10,29.4
0.017,12.35,6.772,14.09,28.7
0.033,12.50,6.499,14.09,27.5
0.050,12.70,6.090,14.08,25.6
0.067,12.94,5.556,14.09,23.2
0.083,13.22,4.896,14.10,20.3
0.100,13.50,4.120,14.11,17.0
0.117,13.74,3.248,14.12,13.3
0.133,13.93,2.296,14.12,9.4
0.150,14.08,1.270,14.13,5.2
0.167,14.15,0.216,14.15,0.9
0.184,14.14,-0.847,14.16,-3.4
0.200,14.05,-1.887,14.18,-7.6
0.217,13.91,-2.881,14.20,-11.7
0.234,13.71,-3.797,14.23,-15.5
0.250,13.47,-4.613,14.24,-18.9
0.267,13.22,-5.338,14.25,-22.0
0.284,12.97,-5.922,14.26,-24.5
0.300,12.76,-6.397,14.27,-26.6
0.317,12.60,-6.735,14.29,-28.1
0.334,12.50,-6.937,14.30,-29.0
0.350,12.46,-7.009,14.30,-29.4
0.367,12.50,-6.947,14.30,-29.1
0.384,12.61,-6.740,14.30,-28.1
0.400,12.77,-6.408,14.29,-26.6
0.417,12.99,-5.950,14.29,-24.6
0.434,13.23,-5.354,14.27,-22.0
0.450,13.48,-4.654,14.26,-19.0
0.467,13.72,-3.845,14.25,-15.7
0.484,13.92,-2.946,14.23,-11.9
0.500,14.06,-1.974,14.20,-8.0
0.517,14.15,-0.954,14.19,-3.9
0.534,14.17,9.562E-2,14.17,0.4
0.551,14.11,1.130,14.16,4.6
0.567,13.97,2.130,14.13,8.7
0.584,13.79,3.068,14.12,12.5
0.601,13.55,3.924,14.11,16.1
0.617,13.30,4.665,14.09,19.3
0.634,13.04,5.300,14.07,22.1
0.651,12.80,5.818,14.06,24.4
0.667,12.60,6.214,14.05,26.3
0.684,12.44,6.492,14.04,27.5
0.701,12.36,6.637,14.03,28.2
0.717,12.36,6.652,14.04,28.3
0.734,12.42,6.535,14.03,27.8
0.751,12.55,6.291,14.04,26.6
0.767,12.74,5.904,14.04,24.9
0.784,12.97,5.402,14.05,22.6
0.801,13.22,4.773,14.06,19.9
0.817,13.48,4.041,14.07,16.7
0.834,13.71,3.213,14.09,13.2
0.851,13.91,2.285,14.10,9.3
0.868,14.05,1.296,14.11,5.3
0.884,14.12,0.274,14.12,1.1
0.901,14.12,-0.760,14.14,-3.1
0.918,14.05,-1.775,14.16,-7.2
0.934,13.93,-2.746,14.20,-11.2
0.951,13.75,-3.647,14.22,-14.9
0.968,13.52,-4.457,14.24,-18.2
0.984,13.28,-5.173,14.26,-21.3
1.001,13.06,-5.776,14.28,-23.9
1.018,12.85,-6.245,14.29,-25.9
1.034,12.68,-6.593,14.29,-27.5
1.051,12.57,-6.802,14.29,-28.4
1.068,12.54,-6.878,14.30,-28.8
1.084,12.57,-6.834,14.31,-28.5
1.101,12.66,-6.646,14.30,-27.7
1.118,12.82,-6.322,14.29,-26.3
1.134,13.02,-5.857,14.27,-24.2
1.151,13.25,-5.285,14.27,-21.7
1.168,13.50,-4.595,14.26,-18.8
1.185,13.73,-3.809,14.25,-15.5
1.201,13.93,-2.930,14.23,-11.9
1.218,14.08,-1.987,14.22,-8.0
1.235,14.16,-0.995,14.19,-4.0
1.251,14.18,1.882E-2,14.18,0.1
1.268,14.11,1.027,14.15,4.2
1.285,14.01,1.993,14.15,8.1
1.301,13.80,2.912,14.11,11.9
1.318,13.58,3.750,14.09,15.4
1.335,13.33,4.486,14.07,18.6
1.351,13.08,5.119,14.05,21.4
1.368,12.84,5.645,14.03,23.7
1.385,12.65,6.050,14.02,25.6
1.401,12.50,6.326,14.01,26.8
1.418,12.43,6.475,14.02,27.5
1.435,12.42,6.495,14.01,27.6
1.451,12.48,6.386,14.02,27.1
1.468,12.60,6.150,14.02,26.0
1.485,12.78,5.785,14.03,24.4
1.502,13.01,5.293,14.04,22.1
1.518,13.25,4.680,14.05,19.5
1.535,13.49,3.966,14.06,16.4
1.552,13.71,3.150,14.07,12.9
1.568,13.91,2.257,14.10,9.2
1.585,14.05,1.303,14.11,5.3
1.602,14.12,0.317,14.12,1.3
1.618,14.13,-0.685,14.14,-2.8
1.635,14.06,-1.673,14.16,-6.8
1.652,13.94,-2.614,14.19,-10.6
1.668,13.77,-3.489,14.21,-14.2
1.685,13.57,-4.286,14.23,-17.5
1.702,13.35,-4.987,14.25,-20.5
1.718,13.14,-5.558,14.27,-22.9
1.735,12.95,-6.028,14.28,-25.0
1.752,12.80,-6.350,14.29,-26.4
1.768,12.71,-6.564,14.30,-27.3
1.785,12.67,-6.647,14.31,-27.7
1.802,12.70,-6.597,14.31,-27.5
1.818,12.79,-6.432,14.31,-26.7
1.835,12.93,-6.125,14.30,-25.4
1.852,13.12,-5.684,14.30,-23.4
1.869,13.33,-5.129,14.28,-21.0
1.885,13.55,-4.454,14.26,-18.2
1.902,13.77,-3.689,14.26,-15.0
1.919,13.96,-2.843,14.24,-11.5
1.935,14.09,-1.928,14.22,-7.8
1.952,14.17,-0.962,14.20,-3.9
1.969,14.17,2.043E-2,14.17,0.1
1.985,14.13,1.003,14.16,4.1
2.002,14.01,1.944,14.15,7.9
2.019,13.84,2.838,14.12,11.6
2.035,13.62,3.658,14.10,15.0
2.052,13.38,4.376,14.08,18.1
2.069,13.14,5.001,14.06,20.8
2.085,12.93,5.519,14.06,23.1
2.102,12.75,5.912,14.05,24.9
2.119,12.61,6.180,14.05,26.1
2.135,12.52,6.320,14.03,26.8
2.152,12.52,6.337,14.03,26.9
2.169,12.56,6.227,14.02,26.4
2.186,12.68,5.989,14.02,25.3
2.202,12.85,5.625,14.03,23.6
2.219,13.06,5.153,14.04,21.5
2.236,13.29,4.561,14.05,18.9
2.252,13.51,3.858,14.05,15.9
2.269,13.73,3.058,14.07,12.6
2.286,13.91,2.187,14.08,8.9
2.302,14.05,1.253,14.10,5.1
2.319,14.11,0.294,14.12,1.2
2.336,14.12,-0.685,14.14,-2.8
2.352,14.07,-1.635,14.16,-6.6
2.369,13.95,-2.548,14.18,-10.4
2.386,13.80,-3.402,14.21,-13.9
2.402,13.60,-4.177,14.23,-17.1
2.419,13.39,-4.858,14.25,-19.9
2.436,13.20,-5.433,14.27,-22.4
2.452,13.02,-5.863,14.28,-24.2
2.469,12.89,-6.198,14.30,-25.7
2.486,12.78,-6.394,14.29,-26.6
2.502,12.76,-6.464,14.30,-26.9
2.519,12.78,-6.414,14.30,-26.6
2.536,12.87,-6.236,14.30,-25.9
2.553,13.00,-5.943,14.30,-24.6
2.569,13.18,-5.503,14.28,-22.7
2.586,13.38,-4.970,14.28,-20.4
2.603,13.59,-4.322,14.26,-17.6
2.619,13.79,-3.562,14.24,-14.5
2.636,13.95,-2.738,14.22,-11.1
2.653,14.08,-1.845,14.20,-7.5
2.669,14.15,-0.912,14.18,-3.7
2.686,14.10,0.995,14.14,4.0
2.703,14.10,0.997,14.13,4.0
2.719,13.97,1.913,14.10,7.8
2.736,13.82,2.773,14.10,11.3
2.753,13.61,3.571,14.07,14.7
2.769,13.39,4.280,14.06,17.7
2.786,13.16,4.876,14.03,20.3
2.803,12.96,5.363,14.02,22.5
2.819,12.78,5.738,14.01,24.2
2.836,12.66,6.005,14.01,25.4
2.853,12.57,6.137,13.99,26.0
2.870,12.57,6.138,13.99,26.0
2.886,12.63,6.022,13.99,25.5
2.903,12.75,5.787,14.00,24.4
2.920,12.90,5.434,14.00,22.8
2.936,13.11,4.957,14.01,20.7
2.953,13.32,4.378,14.02,18.2
2.970,13.54,3.690,14.03,15.3
2.986,13.73,2.917,14.04,12.0
3.003,13.90,2.061,14.06,8.4
3.020,14.03,1.161,14.08,4.7
3.036,14.10,0.227,14.10,0.9
3.053,14.10,-0.716,14.12,-2.9
3.070,14.06,-1.641,14.15,-6.7
3.086,13.95,-2.514,14.17,-10.2
3.103,13.80,-3.345,14.20,-13.6
3.120,13.62,-4.086,14.22,-16.7
3.136,13.43,-4.749,14.25,-19.5
3.153,13.24,-5.277,14.25,-21.7
3.170,13.08,-5.708,14.27,-23.6
3.187,12.96,-6.017,14.29,-24.9
3.203,12.89,-6.221,14.31,-25.8
3.220,12.86,-6.265,14.31,-26.0
3.237,12.89,-6.210,14.31,-25.7
3.253,12.97,-6.028,14.30,-24.9
3.270,13.10,-5.740,14.30,-23.7
3.287,13.27,-5.318,14.29,-21.8
3.303,13.45,-4.766,14.27,-19.5
3.320,13.65,-4.137,14.26,-16.9
3.337,13.83,-3.400,14.24,-13.8
3.353,13.98,-2.604,14.22,-10.5
3.370,14.09,-1.741,14.20,-7.0
3.387,14.15,-0.832,14.17,-3.4
3.403,14.15,8.834E-2,14.15,0.4
3.420,14.08,1.013,14.12,4.1
3.437,13.97,1.895,14.10,7.7
3.453,13.82,2.729,14.08,11.2
3.470,13.61,3.483,14.05,14.4
3.487,13.40,4.147,14.03,17.2
3.503,13.19,4.718,14.01,19.7
3.520,12.99,5.187,13.98,21.8
3.537,12.83,5.544,13.98,23.4
3.554,12.72,5.781,13.97,24.4
3.570,12.65,5.916,13.96,25.1
3.587,12.65,5.915,13.96,25.1
3.604,12.71,5.799,13.97,24.5
3.620,12.81,5.563,13.97,23.5
3.637,12.97,5.202,13.97,21.9
3.654,13.16,4.747,13.99,19.8
3.670,13.37,4.172,14.01,17.3
3.687,13.57,3.505,14.02,14.5
3.704,13.76,2.740,14.03,11.3
3.720,13.92,1.917,14.05,7.8
3.737,14.04,1.036,14.08,4.2
3.754,14.10,0.140,14.10,0.6
3.770,14.11,-0.770,14.13,-3.1
3.787,14.07,-1.662,14.17,-6.7
3.804,13.96,-2.514,14.19,-10.2
3.820,13.82,-3.302,14.21,-13.4
3.837,13.66,-4.022,14.24,-16.4
3.854,13.48,-4.655,14.26,-19.0
3.871,13.31,-5.180,14.28,-21.3
3.887,13.15,-5.593,14.29,-23.0
3.904,13.04,-5.883,14.31,-24.3
3.921,12.98,-6.044,14.31,-25.0
3.937,12.96,-6.099,14.32,-25.2
3.954,12.98,-6.029,14.31,-24.9
3.971,13.07,-5.842,14.31,-24.1
3.987,13.20,-5.539,14.32,-22.8
4.004,13.35,-5.108,14.30,-20.9
4.021,13.54,-4.579,14.29,-18.7
4.037,13.72,-3.941,14.27,-16.0
4.054,13.90,-3.224,14.27,-13.1
4.071,14.03,-2.440,14.24,-9.9
4.087,14.12,-1.591,14.21,-6.4
4.104,14.16,-0.706,14.18,-2.9
4.121,14.16,0.188,14.16,0.8
4.137,14.10,1.062,14.14,4.3
4.154,13.99,1.918,14.12,7.8
4.171,13.83,2.715,14.09,11.1
4.188,13.65,3.441,14.07,14.2
4.204,13.43,4.086,14.04,16.9
4.221,13.22,4.629,14.01,19.3
4.238,13.04,5.075,13.99,21.3
4.254,12.88,5.403,13.97,22.8
4.271,12.78,5.606,13.95,23.7
4.288,12.73,5.703,13.95,24.1
4.304,12.74,5.691,13.95,24.1
4.321,12.80,5.570,13.96,23.5
4.338,12.91,5.330,13.96,22.4
4.354,13.06,4.968,13.97,20.8
4.371,13.24,4.498,13.98,18.8
