t,x,y,r,θ
0.000,25.72,6.990,26.65,15.2
0.017,25.83,6.637,26.67,14.4
0.033,25.98,6.215,26.71,13.5
0.050,26.11,5.712,26.73,12.3
0.067,26.22,5.131,26.72,11.1
0.083,26.36,4.492,26.74,9.7
0.100,26.46,3.824,26.74,8.2
0.117,26.55,3.100,26.73,6.7
0.133,26.62,2.345,26.73,5.0
0.150,26.68,1.551,26.72,3.3
0.167,26.70,0.742,26.71,1.6
0.183,26.70,-6.888E-2,26.70,-0.1
0.200,26.70,-0.860,26.71,-1.8
0.217,26.68,-1.627,26.73,-3.5
0.233,26.62,-2.366,26.73,-5.1
0.250,26.56,-3.070,26.73,-6.6
0.267,26.46,-3.754,26.73,-8.1
0.283,26.36,-4.382,26.72,-9.4
0.300,26.26,-4.946,26.72,-10.7
0.317,26.13,-5.433,26.69,-11.7
0.333,26.04,-5.858,26.69,-12.7
0.350,25.97,-6.180,26.69,-13.4
0.367,25.90,-6.434,26.68,-14.0
0.383,25.87,-6.617,26.70,-14.3
0.400,25.83,-6.714,26.69,-14.6
0.417,25.82,-6.720,26.68,-14.6
0.433,25.82,-6.641,26.66,-14.4
0.450,25.86,-6.481,26.66,-14.1
0.467,25.93,-6.230,26.67,-13.5
0.483,26.01,-5.902,26.67,-12.8
0.500,26.11,-5.495,26.69,-11.9
0.517,26.21,-5.039,26.69,-10.9
0.533,26.31,-4.502,26.69,-9.7
0.550,26.40,-3.909,26.69,-8.4
0.567,26.49,-3.277,26.69,-7.1
0.583,26.56,-2.594,26.69,-5.6
0.600,26.63,-1.885,26.70,-4.0
0.617,26.68,-1.142,26.70,-2.5
0.633,26.70,-0.395,26.70,-0.8
0.650,26.69,0.364,26.69,0.8
0.667,26.70,1.121,26.72,2.4
0.683,26.66,1.864,26.72,4.0
0.700,26.58,2.569,26.70,5.5
0.717,26.51,3.252,26.71,7.0
0.733,26.43,3.876,26.71,8.3
0.750,26.33,4.460,26.70,9.6
0.767,26.24,4.982,26.70,10.8
0.783,26.11,5.432,26.67,11.8
0.800,26.05,5.847,26.70,12.6
0.817,25.97,6.154,26.69,13.3
0.833,25.92,6.403,26.70,13.9
0.850,25.88,6.569,26.70,14.2
0.867,25.86,6.681,26.71,14.5
0.883,25.85,6.691,26.71,14.5
0.900,25.88,6.617,26.71,14.3
0.917,25.91,6.479,26.71,14.0
0.933,25.97,6.256,26.71,13.5
0.950,26.02,5.951,26.69,12.9
0.967,26.11,5.588,26.70,12.1
0.983,26.21,5.158,26.71,11.1
1.000,26.32,4.651,26.73,10.0
1.017,26.40,4.083,26.71,8.8
1.033,26.47,3.474,26.69,7.5
1.050,26.55,2.829,26.70,6.1
1.067,26.62,2.136,26.70,4.6
1.083,26.67,1.426,26.71,3.1
1.100,26.69,0.714,26.70,1.5
1.117,26.70,-1.716E-2,26.70,-0.0
1.133,26.69,-0.749,26.70,-1.6
1.150,26.68,-1.454,26.72,-3.1
1.167,26.62,-2.140,26.71,-4.6
1.183,26.57,-2.792,26.72,-6.0
1.200,26.50,-3.399,26.72,-7.3
1.217,26.41,-3.971,26.71,-8.5
1.233,26.31,-4.490,26.69,-9.7
1.250,26.25,-4.938,26.71,-10.7
1.267,26.15,-5.333,26.69,-11.5
1.283,26.07,-5.646,26.67,-12.2
1.300,26.05,-5.900,26.71,-12.8
1.317,26.01,-6.026,26.70,-13.0
1.333,25.97,-6.122,26.68,-13.3
1.350,25.97,-6.128,26.69,-13.3
1.367,25.97,-6.065,26.67,-13.1
1.383,26.02,-5.912,26.68,-12.8
1.400,26.06,-5.694,26.68,-12.3
1.417,26.15,-5.396,26.70,-11.7
1.433,26.22,-5.017,26.70,-10.8
1.450,26.30,-4.599,26.70,-9.9
1.467,26.40,-4.101,26.71,-8.8
1.483,26.48,-3.563,26.71,-7.7
1.500,26.55,-2.985,26.72,-6.4
1.517,26.61,-2.361,26.71,-5.1
1.533,26.65,-1.711,26.70,-3.7
1.550,26.68,-1.033,26.70,-2.2
1.567,26.70,-0.348,26.71,-0.7
1.583,26.70,0.343,26.70,0.7
1.600,26.69,1.019,26.71,2.2
1.617,26.66,1.703,26.71,3.7
1.633,26.60,2.356,26.71,5.1
1.650,26.56,2.978,26.72,6.4
1.667,26.49,3.549,26.73,7.6
1.683,26.41,4.100,26.72,8.8
1.700,26.32,4.567,26.72,9.8
1.717,26.26,5.001,26.73,10.8
1.733,26.18,5.342,26.72,11.5
1.750,26.11,5.640,26.71,12.2
1.767,26.06,5.851,26.70,12.7
1.783,26.02,5.998,26.71,13.0
1.800,26.01,6.102,26.72,13.2
1.817,26.01,6.110,26.72,13.2
1.833,26.03,6.038,26.72,13.1
1.850,26.05,5.906,26.71,12.8
1.867,26.12,5.706,26.73,12.3
1.883,26.16,5.430,26.72,11.7
1.900,26.25,5.077,26.73,10.9
1.917,26.31,4.692,26.72,10.1
1.933,26.40,4.218,26.74,9.1
1.950,26.46,3.718,26.72,8.0
1.967,26.52,3.151,26.71,6.8
1.983,26.59,2.554,26.72,5.5
2.000,26.64,1.921,26.71,4.1
2.017,26.68,1.280,26.71,2.7
2.033,26.69,0.615,26.70,1.3
2.050,26.70,-3.949E-2,26.70,-0.1
2.067,26.69,-0.704,26.70,-1.5
2.083,26.67,-1.350,26.71,-2.9
2.100,26.62,-1.962,26.69,-4.2
2.117,26.58,-2.561,26.70,-5.5
2.133,26.51,-3.118,26.69,-6.7
2.150,26.44,-3.647,26.69,-7.9
2.167,26.35,-4.114,26.67,-8.9
2.183,26.32,-4.524,26.70,-9.8
2.200,26.23,-4.864,26.68,-10.5
2.217,26.20,-5.144,26.70,-11.1
2.233,26.15,-5.356,26.70,-11.6
2.250,26.11,-5.489,26.68,-11.9
2.267,26.07,-5.586,26.67,-12.1
2.283,26.07,-5.588,26.67,-12.1
2.300,26.12,-5.498,26.69,-11.9
2.317,26.12,-5.376,26.67,-11.6
2.333,26.17,-5.165,26.68,-11.2
2.350,26.27,-4.891,26.72,-10.5
2.367,26.30,-4.543,26.69,-9.8
2.383,26.39,-4.129,26.71,-8.9
2.400,26.45,-3.691,26.70,-7.9
2.417,26.53,-3.199,26.72,-6.9
2.433,26.58,-2.656,26.71,-5.7
2.450,26.63,-2.084,26.71,-4.5
2.467,26.67,-1.496,26.71,-3.2
2.483,26.70,-0.872,26.71,-1.9
2.500,26.71,-0.248,26.71,-0.5
2.517,26.71,0.383,26.71,0.8
2.533,26.70,1.011,26.72,2.2
2.550,26.66,1.620,26.71,3.5
2.567,26.62,2.200,26.71,4.7
2.583,26.57,2.760,26.72,5.9
2.600,26.51,3.293,26.72,7.1
2.617,26.46,3.780,26.73,8.1
2.633,26.38,4.193,26.71,9.0
2.650,26.31,4.577,26.71,9.9
2.667,26.26,4.898,26.71,10.6
2.683,26.21,5.158,26.71,11.1
2.700,26.18,5.350,26.72,11.5
2.717,26.14,5.471,26.70,11.8
2.733,26.11,5.536,26.69,12.0
2.750,26.11,5.532,26.69,12.0
2.767,26.14,5.461,26.71,11.8
2.783,26.18,5.333,26.72,11.5
2.800,26.22,5.151,26.72,11.1
2.817,26.26,4.894,26.71,10.6
2.833,26.32,4.570,26.72,9.8
2.850,26.38,4.194,26.72,9.0
2.867,26.46,3.778,26.72,8.1
2.883,26.52,3.300,26.72,7.1
2.900,26.56,2.782,26.71,6.0
2.917,26.63,2.230,26.72,4.8
2.933,26.66,1.663,26.71,3.6
2.950,26.70,1.078,26.72,2.3
2.967,26.70,0.468,26.70,1.0
2.983,26.72,-0.136,26.72,-0.3
3.000,26.71,-0.737,26.72,-1.6
3.017,26.69,-1.313,26.72,-2.8
3.033,26.65,-1.875,26.72,-4.0
3.050,26.61,-2.396,26.72,-5.1
3.067,26.55,-2.917,26.71,-6.3
3.083,26.51,-3.361,26.72,-7.2
3.100,26.45,-3.766,26.72,-8.1
3.117,26.39,-4.131,26.72,-8.9
3.133,26.34,-4.440,26.71,-9.6
3.150,26.28,-4.696,26.70,-10.1
3.167,26.27,-4.856,26.72,-10.5
3.183,26.22,-5.008,26.70,-10.8
3.200,26.22,-5.060,26.70,-10.9
3.217,26.22,-5.060,26.71,-10.9
3.233,26.25,-4.977,26.72,-10.7
3.250,26.29,-4.819,26.72,-10.4
3.267,26.33,-4.602,26.73,-9.9
3.283,26.39,-4.335,26.74,-9.3
3.300,26.44,-4.040,26.75,-8.7
3.317,26.47,-3.662,26.73,-7.9
3.333,26.53,-3.245,26.72,-7.0
3.350,26.59,-2.785,26.73,-6.0
3.367,26.63,-2.286,26.72,-4.9
3.383,26.67,-1.763,26.73,-3.8
3.400,26.69,-1.223,26.72,-2.6
3.417,26.73,-0.671,26.74,-1.4
3.433,26.74,-9.941E-2,26.74,-0.2
3.450,26.73,0.477,26.73,1.0
3.467,26.69,1.037,26.71,2.2
3.483,26.67,1.594,26.72,3.4
