t,x,y,r,θ
0.000,14.43,21.27,25.70,55.9
0.017,15.16,20.89,25.81,54.0
0.033,15.90,20.43,25.89,52.1
0.050,16.85,19.78,25.99,49.6
0.067,17.92,18.88,26.03,46.5
0.083,19.10,17.67,26.02,42.8
0.100,20.33,16.25,26.02,38.6
0.117,21.62,14.62,26.10,34.1
0.133,22.83,12.75,26.15,29.2
0.150,23.92,10.64,26.17,24.0
0.167,24.88,8.265,26.21,18.4
0.184,25.61,5.708,26.24,12.6
0.200,26.06,2.977,26.23,6.5
0.217,26.34,0.204,26.34,0.4
0.234,26.33,-2.616,26.46,-5.7
0.250,25.95,-5.379,26.50,-11.7
0.267,25.26,-8.020,26.50,-17.6
0.284,24.34,-10.52,26.51,-23.4
0.300,23.20,-12.77,26.48,-28.8
0.317,21.98,-14.80,26.50,-34.0
0.334,20.69,-16.56,26.50,-38.7
0.350,19.35,-17.84,26.32,-42.7
0.367,18.11,-19.46,26.58,-47.0
0.384,16.97,-20.50,26.61,-50.4
0.400,15.97,-21.29,26.62,-53.1
0.417,15.17,-21.86,26.61,-55.2
0.434,14.59,-22.20,26.57,-56.7
0.450,14.28,-22.35,26.52,-57.4
0.467,14.21,-22.38,26.51,-57.6
0.484,14.41,-22.28,26.54,-57.1
0.500,14.84,-21.96,26.51,-56.0
0.517,15.51,-21.46,26.47,-54.1
0.534,16.37,-20.78,26.46,-51.8
0.551,17.41,-19.87,26.42,-48.8
0.567,18.57,-18.70,26.36,-45.2
0.584,19.82,-17.33,26.33,-41.2
0.601,21.08,-15.76,26.32,-36.8
0.617,22.32,-13.92,26.31,-32.0
0.634,23.47,-11.85,26.29,-26.8
0.651,24.46,-9.560,26.27,-21.3
0.667,25.24,-7.121,26.23,-15.8
0.684,25.82,-4.548,26.22,-10.0
0.701,26.14,-1.901,26.21,-4.2
0.717,26.19,0.759,26.20,1.7
0.734,25.99,3.381,26.21,7.4
0.751,25.51,5.906,26.18,13.0
0.767,24.81,8.270,26.16,18.4
0.784,23.94,10.45,26.12,23.6
0.801,22.92,12.40,26.06,28.4
0.817,21.82,14.13,26.00,32.9
0.834,20.68,15.65,25.94,37.1
0.851,19.56,16.92,25.86,40.9
0.868,18.51,18.00,25.82,44.2
0.884,17.54,18.88,25.77,47.1
0.901,16.72,19.67,25.81,49.6
0.918,16.06,20.20,25.80,51.5
0.934,15.61,20.53,25.79,52.8
0.951,15.36,20.76,25.83,53.5
0.968,15.31,20.81,25.83,53.7
0.984,15.49,20.68,25.83,53.2
1.001,15.86,20.42,25.86,52.2
1.018,16.45,19.99,25.89,50.5
1.034,17.22,19.40,25.94,48.4
1.051,18.13,18.59,25.97,45.7
1.068,19.15,17.59,26.01,42.6
1.084,20.26,16.39,26.06,39.0
1.101,21.39,14.98,26.11,35.0
1.118,22.51,13.30,26.14,30.6
1.134,23.55,11.41,26.17,25.9
1.151,24.47,9.288,26.18,20.8
1.168,25.22,6.987,26.17,15.5
1.185,25.78,4.538,26.18,10.0
1.201,26.07,1.992,26.15,4.4
1.218,26.12,-0.613,26.12,-1.3
1.235,25.90,-3.201,26.10,-7.0
1.251,25.44,-5.695,26.07,-12.6
1.268,24.79,-8.081,26.08,-18.1
1.285,23.97,-10.32,26.10,-23.3
