t,x,y,r,θ
0.000,21.50,16.52,27.11,37.5
0.017,21.64,16.34,27.12,37.0
0.033,21.85,15.97,27.06,36.2
0.050,22.25,15.44,27.08,34.8
0.067,22.72,14.84,27.13,33.1
0.083,23.23,14.08,27.17,31.2
0.100,23.83,13.13,27.20,28.9
0.117,24.41,11.98,27.19,26.1
0.133,25.02,10.70,27.21,23.2
0.150,25.60,9.286,27.23,19.9
0.167,26.12,7.737,27.24,16.5
0.184,26.55,6.080,27.24,12.9
0.200,26.91,4.325,27.25,9.1
0.217,27.14,2.502,27.25,5.3
0.234,27.25,0.634,27.26,1.3
0.250,27.23,-1.237,27.26,-2.6
0.267,27.08,-3.089,27.26,-6.5
0.284,26.80,-4.901,27.25,-10.4
0.300,26.43,-6.635,27.25,-14.1
0.317,25.96,-8.262,27.25,-17.7
0.334,25.43,-9.777,27.25,-21.0
0.350,24.86,-11.16,27.25,-24.2
0.367,24.25,-12.42,27.25,-27.1
0.384,23.68,-13.51,27.26,-29.7
0.400,23.13,-14.41,27.25,-31.9
0.417,22.65,-15.17,27.26,-33.8
0.434,22.23,-15.77,27.26,-35.3
0.450,21.91,-16.21,27.26,-36.5
0.467,21.70,-16.49,27.25,-37.2
0.484,21.60,-16.61,27.25,-37.6
0.501,21.63,-16.58,27.25,-37.5
0.517,21.76,-16.40,27.24,-37.0
0.534,22.01,-16.05,27.24,-36.1
0.551,22.36,-15.55,27.23,-34.8
0.567,22.79,-14.89,27.22,-33.2
0.584,23.31,-14.06,27.22,-31.1
0.601,23.87,-13.07,27.22,-28.7
0.617,24.47,-11.93,27.23,-26.0
0.634,25.05,-10.62,27.21,-23.0
0.651,25.61,-9.176,27.21,-19.7
0.667,26.13,-7.612,27.21,-16.2
0.684,26.56,-5.939,27.21,-12.6
0.701,26.90,-4.182,27.23,-8.8
0.717,27.12,-2.353,27.22,-5.0
0.734,27.21,-0.492,27.22,-1.0
0.751,27.19,1.374,27.22,2.9
0.767,27.04,3.198,27.22,6.7
0.784,26.76,4.977,27.22,10.5
0.801,26.39,6.672,27.22,14.2
0.817,25.92,8.270,27.21,17.7
0.834,25.39,9.752,27.20,21.0
0.851,24.83,11.11,27.20,24.1
0.868,24.25,12.32,27.20,26.9
0.884,23.68,13.38,27.19,29.5
0.901,23.15,14.26,27.19,31.6
0.918,22.67,15.00,27.18,33.5
0.934,22.27,15.58,27.18,35.0
0.951,21.94,16.01,27.16,36.1
0.968,21.73,16.28,27.15,36.8
0.984,21.63,16.40,27.14,37.2
1.001,21.65,16.37,27.14,37.1
1.018,21.78,16.21,27.15,36.6
1.034,22.02,15.90,27.16,35.8
1.051,22.37,15.41,27.17,34.6
1.068,22.80,14.76,27.16,32.9
1.084,23.31,13.96,27.17,30.9
1.101,23.86,13.00,27.17,28.6
1.118,24.44,11.90,27.18,26.0
1.134,25.01,10.64,27.18,23.0
1.151,25.57,9.238,27.19,19.9
1.168,26.07,7.722,27.19,16.5
1.185,26.51,6.098,27.20,13.0
1.201,26.86,4.374,27.21,9.2
1.218,27.09,2.593,27.22,5.5
1.235,27.20,0.759,27.21,1.6
1.251,27.18,-1.082,27.21,-2.3
1.268,27.05,-2.903,27.21,-6.1
1.285,26.81,-4.689,27.22,-9.9
1.301,26.44,-6.396,27.20,-13.6
1.318,25.99,-7.999,27.19,-17.1
1.335,25.47,-9.498,27.18,-20.5
1.351,24.92,-10.88,27.19,-23.6
1.368,24.34,-12.11,27.18,-26.5
1.385,23.77,-13.18,27.18,-29.0
1.401,23.24,-14.10,27.19,-31.3
1.418,22.76,-14.87,27.19,-33.2
1.435,22.36,-15.49,27.20,-34.7
