m = 22.15
t,x,y,r,θ
0.000,37.63,7.742,38.42,11.6
0.017,37.74,7.183,38.42,10.8
0.033,37.84,6.566,38.41,9.8
0.050,37.94,5.884,38.39,8.8
0.067,38.03,5.149,38.38,7.7
0.083,38.14,4.377,38.39,6.5
0.100,38.23,3.574,38.39,5.3
0.117,38.29,2.738,38.39,4.1
0.133,38.35,1.891,38.40,2.8
0.150,38.38,1.015,38.39,1.5
0.167,38.38,0.137,38.38,0.2
0.184,38.38,-0.741,38.39,-1.1
0.200,38.36,-1.614,38.40,-2.4
0.217,38.32,-2.458,38.40,-3.7
0.234,38.26,-3.282,38.40,-4.9
0.250,38.18,-4.086,38.40,-6.1
0.267,38.08,-4.850,38.39,-7.3
0.284,37.99,-5.577,38.40,-8.4
0.300,37.89,-6.249,38.40,-9.4
0.317,37.77,-6.872,38.39,-10.3
0.334,37.66,-7.435,38.38,-11.2
0.350,37.56,-7.930,38.39,-11.9
0.367,37.45,-8.367,38.38,-12.6
0.384,37.36,-8.737,38.37,-13.2
0.400,37.29,-9.022,38.36,-13.6
0.417,37.23,-9.250,38.36,-14.0
0.434,37.18,-9.397,38.35,-14.2
0.450,37.15,-9.480,38.34,-14.3
0.467,37.15,-9.468,38.34,-14.3
0.484,37.17,-9.398,38.34,-14.2
0.501,37.20,-9.245,38.33,-14.0
0.517,37.24,-9.028,38.32,-13.6
0.534,37.30,-8.732,38.31,-13.2
0.551,37.37,-8.368,38.30,-12.6
0.567,37.46,-7.933,38.29,-12.0
0.584,37.55,-7.439,38.28,-11.2
0.601,37.66,-6.878,38.28,-10.4
0.617,37.76,-6.261,38.28,-9.4
0.634,37.86,-5.597,38.27,-8.4
0.651,37.97,-4.880,38.28,-7.3
0.667,38.04,-4.136,38.27,-6.2
0.684,38.12,-3.345,38.27,-5.0
0.701,38.18,-2.523,38.26,-3.8
0.717,38.22,-1.685,38.26,-2.5
0.734,38.25,-0.836,38.26,-1.3
0.751,38.26,2.469E-2,38.26,0.0
0.767,38.25,0.881,38.26,1.3
0.784,38.22,1.734,38.26,2.6
0.801,38.17,2.570,38.26,3.9
0.817,38.11,3.390,38.26,5.1
0.834,38.04,4.189,38.27,6.3
0.851,37.95,4.948,38.27,7.4
0.868,37.86,5.665,38.28,8.5
0.884,37.76,6.332,38.28,9.5
0.901,37.66,6.957,38.29,10.5
0.918,37.56,7.527,38.30,11.3
0.934,37.45,8.040,38.31,12.1
0.951,37.37,8.475,38.32,12.8
0.968,37.28,8.857,38.32,13.4
0.984,37.22,9.159,38.33,13.8
1.001,37.16,9.400,38.33,14.2
1.018,37.12,9.558,38.33,14.4
1.034,37.10,9.643,38.33,14.6
1.051,37.10,9.658,38.34,14.6
1.068,37.12,9.591,38.34,14.5
1.084,37.15,9.454,38.33,14.3
1.101,37.21,9.238,38.34,13.9
1.118,37.29,8.956,38.35,13.5
1.134,37.38,8.599,38.35,13.0
1.151,37.47,8.181,38.35,12.3
1.168,37.57,7.687,38.35,11.6
1.185,37.68,7.135,38.35,10.7
1.201,37.79,6.524,38.35,9.8
1.218,37.88,5.868,38.34,8.8
1.235,37.99,5.155,38.33,7.7
1.251,38.07,4.410,38.33,6.6
1.268,38.15,3.618,38.32,5.4
1.285,38.23,2.796,38.33,4.2
1.301,38.27,1.956,38.32,2.9
1.318,38.30,1.104,38.32,1.7
1.335,38.31,0.234,38.31,0.4
1.351,38.31,-0.631,38.31,-0.9
1.368,38.28,-1.490,38.30,-2.2
1.385,38.24,-2.334,38.31,-3.5
1.401,38.18,-3.154,38.31,-4.7
1.418,38.11,-3.954,38.31,-5.9
1.435,38.01,-4.708,38.30,-7.1
1.451,37.92,-5.424,38.30,-8.1
1.468,37.82,-6.092,38.31,-9.1
1.485,37.71,-6.716,38.31,-10.1
1.502,37.61,-7.277,38.31,-11.0
1.518,37.52,-7.773,38.31,-11.7
1.535,37.41,-8.205,38.30,-12.4
1.552,37.33,-8.576,38.30,-12.9
1.568,37.26,-8.863,38.30,-13.4
1.585,37.20,-9.079,38.29,-13.7
1.602,37.16,-9.244,38.29,-14.0
1.618,37.13,-9.322,38.28,-14.1
1.635,37.12,-9.320,38.27,-14.1
1.652,37.14,-9.251,38.27,-14.0
1.668,37.16,-9.111,38.26,-13.8
1.685,37.22,-8.898,38.27,-13.4
1.702,37.28,-8.611,38.26,-13.0
1.718,37.35,-8.258,38.25,-12.5
1.735,37.43,-7.838,38.24,-11.8
1.752,37.53,-7.350,38.24,-11.1
1.768,37.62,-6.814,38.23,-10.3
1.785,37.72,-6.204,38.23,-9.3
1.802,37.82,-5.552,38.23,-8.4
1.818,37.92,-4.851,38.23,-7.3
1.835,38.01,-4.113,38.23,-6.2
1.852,38.08,-3.341,38.23,-5.0
1.869,38.14,-2.531,38.23,-3.8
1.885,38.19,-1.710,38.22,-2.6
1.902,38.21,-0.866,38.22,-1.3
1.919,38.23,-2.091E-2,38.23,-0.0
1.935,38.23,0.829,38.24,1.2
1.952,38.21,1.669,38.25,2.5
1.969,38.17,2.500,38.25,3.7
1.985,38.11,3.312,38.25,5.0
2.002,38.04,4.092,38.26,6.1
2.019,37.96,4.842,38.27,7.3
2.035,37.86,5.558,38.27,8.4
2.052,37.77,6.224,38.28,9.4
2.069,37.66,6.849,38.28,10.3
2.085,37.57,7.412,38.29,11.2
2.102,37.47,7.912,38.30,11.9
2.119,37.37,8.352,38.29,12.6
2.135,37.29,8.728,38.29,13.2
2.152,37.23,9.028,38.31,13.6
2.169,37.19,9.267,38.32,14.0
2.186,37.16,9.433,38.34,14.2
2.202,37.14,9.533,38.34,14.4
2.219,37.14,9.551,38.35,14.4
2.236,37.16,9.490,38.35,14.3
2.252,37.19,9.357,38.35,14.1
2.269,37.24,9.149,38.35,13.8
2.286,37.32,8.861,38.35,13.4
2.302,37.39,8.520,38.35,12.8
2.319,37.49,8.098,38.35,12.2
2.336,37.59,7.614,38.36,11.4
2.352,37.70,7.067,38.36,10.6
2.369,37.81,6.471,38.36,9.7
