m = 72.36
t,x,y,r,θ
0.000,21.21,31.89,38.30,56.4
0.017,21.94,31.46,38.36,55.1
0.033,22.89,30.87,38.43,53.4
0.050,23.94,30.08,38.44,51.5
0.067,25.16,29.04,38.43,49.1
0.083,26.50,27.84,38.44,46.4
0.100,27.92,26.37,38.40,43.4
0.117,29.41,24.67,38.39,40.0
0.133,30.93,22.72,38.38,36.3
0.150,32.42,20.54,38.38,32.4
0.167,33.85,18.12,38.39,28.2
0.184,35.17,15.46,38.42,23.7
0.200,36.30,12.60,38.43,19.1
0.217,37.23,9.557,38.43,14.4
0.234,37.94,6.364,38.47,9.5
0.250,38.39,3.082,38.51,4.6
0.267,38.55,-0.239,38.55,-0.4
0.284,38.41,-3.588,38.58,-5.3
0.300,38.01,-6.879,38.63,-10.3
0.317,37.34,-10.07,38.67,-15.1
0.334,36.44,-13.13,38.74,-19.8
0.350,35.36,-16.03,38.83,-24.4
0.367,34.10,-18.73,38.91,-28.8
0.384,32.75,-21.23,39.03,-32.9
0.400,31.29,-23.47,39.12,-36.9
0.417,29.81,-25.47,39.20,-40.5
0.434,28.33,-27.22,39.29,-43.9
0.450,26.91,-28.73,39.37,-46.9
0.467,25.59,-30.04,39.46,-49.6
0.484,24.36,-31.12,39.52,-51.9
0.500,23.27,-31.99,39.56,-54.0
0.517,22.33,-32.65,39.56,-55.6
0.534,21.59,-33.15,39.56,-56.9
0.551,21.05,-33.49,39.56,-57.8
0.567,20.78,-33.68,39.57,-58.3
0.584,20.69,-33.71,39.56,-58.5
0.601,20.82,-33.60,39.53,-58.2
0.617,21.20,-33.33,39.50,-57.5
0.634,21.79,-32.92,39.48,-56.5
0.651,22.59,-32.35,39.45,-55.1
0.667,23.57,-31.58,39.41,-53.3
0.684,24.72,-30.62,39.35,-51.1
0.701,25.99,-29.45,39.28,-48.6
0.717,27.37,-28.06,39.19,-45.7
0.734,28.82,-26.44,39.11,-42.5
0.751,30.32,-24.59,39.04,-39.0
0.767,31.83,-22.50,38.98,-35.3
0.784,33.29,-20.15,38.91,-31.2
0.801,34.64,-17.56,38.83,-26.9
0.817,35.81,-14.79,38.75,-22.4
0.834,36.83,-11.79,38.67,-17.8
0.851,37.64,-8.644,38.62,-12.9
0.868,38.21,-5.425,38.60,-8.1
0.884,38.51,-2.133,38.57,-3.2
0.901,38.53,1.159,38.55,1.7
0.918,38.28,4.438,38.54,6.6
0.934,37.77,7.634,38.53,11.4
0.951,37.00,10.71,38.52,16.1
0.968,36.04,13.64,38.53,20.7
0.984,34.89,16.36,38.53,25.1
1.001,33.69,18.68,38.52,29.0
1.018,32.13,21.08,38.43,33.3
1.034,30.68,23.09,38.40,37.0
1.051,29.24,24.88,38.39,40.4
1.068,27.82,26.43,38.37,43.5
1.084,26.46,27.77,38.35,46.4
1.101,25.21,28.91,38.36,48.9
1.118,24.09,29.84,38.35,51.1
1.134,23.11,30.56,38.32,52.9
1.151,22.32,31.16,38.33,54.4
1.168,21.70,31.59,38.33,55.5
1.185,21.30,31.85,38.32,56.2
1.201,21.10,31.98,38.32,56.6
1.218,21.13,31.98,38.33,56.6
1.235,21.37,31.81,38.32,56.1
1.251,21.80,31.53,38.33,55.3
1.268,22.45,31.07,38.33,54.2
1.285,23.31,30.50,38.38,52.6
1.301,24.33,29.72,38.41,50.7
1.318,25.51,28.76,38.44,48.4
1.335,26.82,27.59,38.48,45.8
1.351,28.21,26.19,38.49,42.9
1.368,29.67,24.54,38.51,39.6
1.385,31.15,22.65,38.51,36.0
1.401,32.60,20.51,38.52,32.2
1.418,33.98,18.12,38.51,28.1
1.435,35.26,15.51,38.52,23.7
1.451,36.37,12.69,38.52,19.2
1.468,37.29,9.683,38.52,14.6
1.485,37.98,6.541,38.54,9.8
1.502,38.42,3.310,38.56,4.9
1.518,38.60,2.427E-2,38.60,0.0
1.535,38.50,-3.273,38.64,-4.9
1.552,38.14,-6.524,38.70,-9.7
1.568,37.51,-9.679,38.74,-14.5
1.585,36.65,-12.73,38.80,-19.2
1.602,35.62,-15.61,38.89,-23.7
1.618,34.41,-18.29,38.97,-28.0
1.635,33.08,-20.77,39.06,-32.1
1.652,31.67,-23.01,39.14,-36.0
1.668,30.22,-25.00,39.22,-39.6
1.685,28.78,-26.76,39.30,-42.9
1.702,27.39,-28.28,39.37,-45.9
1.718,26.08,-29.58,39.43,-48.6
1.735,24.86,-30.65,39.47,-51.0
1.752,23.80,-31.52,39.50,-52.9
1.768,22.90,-32.19,39.51,-54.6
1.785,22.18,-32.69,39.50,-55.8
1.802,21.65,-33.03,39.49,-56.8
1.818,21.34,-33.21,39.48,-57.3
1.835,21.26,-33.25,39.47,-57.4
1.852,21.38,-33.15,39.44,-57.2
1.869,21.72,-32.90,39.42,-56.6
1.885,22.28,-32.48,39.39,-55.6
1.902,23.03,-31.90,39.35,-54.2
1.919,23.96,-31.15,39.30,-52.4
1.935,25.05,-30.19,39.23,-50.3
1.952,26.29,-29.05,39.18,-47.9
1.969,27.62,-27.69,39.11,-45.1
1.985,29.03,-26.10,39.04,-42.0
2.002,30.49,-24.29,38.98,-38.5
2.019,31.93,-22.22,38.90,-34.8
2.035,33.34,-19.90,38.82,-30.8
2.052,34.65,-17.36,38.75,-26.6
2.069,35.82,-14.65,38.70,-22.3
2.085,36.80,-11.71,38.62,-17.6
2.102,37.59,-8.624,38.57,-12.9
2.119,38.16,-5.466,38.55,-8.2
2.135,38.46,-2.223,38.53,-3.3
2.152,38.49,1.037,38.51,1.5
2.169,38.27,4.273,38.51,6.4
2.186,37.77,7.423,38.49,11.1
2.202,37.04,10.48,38.50,15.8
2.219,36.12,13.36,38.51,20.3
2.236,34.99,16.09,38.51,24.7
2.252,33.75,18.62,38.54,28.9
2.269,32.40,20.94,38.58,32.9
2.286,31.01,23.01,38.61,36.6
2.302,29.60,24.88,38.66,40.0
2.319,28.21,26.51,38.71,43.2
2.336,26.85,27.92,38.74,46.1
2.352,25.60,29.10,38.76,48.7
2.369,24.47,30.07,38.77,50.9
2.386,23.50,30.87,38.79,52.7
2.402,22.69,31.46,38.79,54.2
2.419,22.07,31.89,38.78,55.3
2.436,21.65,32.16,38.77,56.0
2.452,21.48,32.30,38.79,56.4
2.469,21.50,32.28,38.79,56.3
2.486,21.72,32.14,38.80,56.0
2.502,22.17,31.82,38.78,55.1
2.519,22.83,31.35,38.78,53.9
2.536,23.67,30.69,38.76,52.4
2.553,24.69,29.86,38.75,50.4
2.569,25.86,28.81,38.71,48.1
2.586,27.15,27.54,38.67,45.4
2.603,28.52,26.08,38.65,42.4
2.619,29.95,24.39,38.62,39.2
2.636,31.39,22.45,38.60,35.6
2.653,32.82,20.30,38.59,31.7
2.669,34.17,17.89,38.57,27.6
2.686,35.40,15.27,38.56,23.3
2.703,36.49,12.44,38.55,18.8
2.719,37.37,9.467,38.55,14.2
2.736,38.03,6.336,38.56,9.5
2.753,38.45,3.137,38.58,4.7
2.769,38.59,-0.104,38.59,-0.2
2.786,38.47,-3.353,38.62,-5.0
2.803,38.09,-6.561,38.65,-9.8
2.819,37.45,-9.669,38.68,-14.5
2.836,36.61,-12.68,38.74,-19.1
2.853,35.58,-15.49,38.81,-23.5
2.870,34.40,-18.11,38.88,-27.8
2.886,33.10,-20.53,38.95,-31.8
2.903,31.73,-22.74,39.04,-35.6
2.920,30.34,-24.69,39.11,-39.1
2.936,28.95,-26.41,39.19,-42.4
2.953,27.60,-27.91,39.25,-45.3
2.970,26.34,-29.18,39.31,-47.9
2.986,25.16,-30.23,39.34,-50.2
3.003,24.14,-31.08,39.35,-52.2
3.020,23.27,-31.74,39.35,-53.8
3.036,22.60,-32.23,39.36,-55.0
3.053,22.12,-32.54,39.34,-55.8
3.070,21.81,-32.71,39.32,-56.3
3.086,21.78,-32.73,39.32,-56.4
3.103,21.91,-32.62,39.29,-56.1
3.120,22.25,-32.35,39.26,-55.5
3.136,22.82,-31.94,39.25,-54.5
3.153,23.58,-31.34,39.21,-53.0
3.170,24.51,-30.57,39.19,-51.3
3.187,25.57,-29.61,39.12,-49.2
3.203,26.77,-28.44,39.05,-46.7
3.220,28.06,-27.07,38.99,-44.0
3.237,29.43,-25.48,38.93,-40.9
3.253,30.82,-23.66,38.86,-37.5
3.270,32.22,-21.60,38.79,-33.8
3.287,33.57,-19.31,38.73,-29.9
3.303,34.83,-16.79,38.67,-25.7
3.320,36.02,-14.02,38.65,-21.3
3.337,36.90,-11.22,38.56,-16.9
3.353,37.66,-8.193,38.54,-12.3
3.370,38.19,-5.075,38.52,-7.6
3.387,38.46,-1.895,38.51,-2.8
3.403,38.49,1.295,38.51,1.9
3.420,38.24,4.480,38.51,6.7
3.437,37.76,7.588,38.51,11.4
3.453,37.04,10.58,38.52,15.9
3.470,36.13,13.45,38.55,20.4
3.487,35.03,16.13,38.57,24.7
3.503,33.79,18.62,38.58,28.9
3.520,32.47,20.88,38.60,32.7
3.537,31.07,22.91,38.61,36.4
3.554,29.68,24.72,38.62,39.8
3.570,28.32,26.29,38.65,42.9
3.587,27.02,27.67,38.68,45.7
3.604,25.81,28.90,38.75,48.2
3.620,24.71,29.89,38.78,50.4
3.637,23.78,30.70,38.84,52.2
3.654,23.02,31.30,38.85,53.7
3.670,22.46,31.73,38.88,54.7
3.687,22.11,32.00,38.89,55.4
3.704,21.95,32.11,38.90,55.6
3.720,22.00,32.08,38.89,55.6
