t,x,y,r,θ
0.000,37.73,7.170,38.40,10.8
0.017,37.78,6.900,38.41,10.4
0.033,37.85,6.573,38.42,9.9
0.050,37.93,6.183,38.43,9.3
0.067,38.01,5.738,38.44,8.6
0.083,38.09,5.243,38.45,7.8
0.100,38.17,4.691,38.46,7.0
0.117,38.26,4.099,38.47,6.1
0.133,38.34,3.468,38.50,5.2
0.150,38.42,2.803,38.52,4.2
0.167,38.48,2.108,38.54,3.1
0.184,38.52,1.390,38.55,2.1
0.200,38.55,0.637,38.56,0.9
0.217,38.57,-0.119,38.57,-0.2
0.234,38.58,-0.885,38.59,-1.3
0.250,38.58,-1.652,38.61,-2.5
0.267,38.55,-2.418,38.63,-3.6
0.284,38.51,-3.163,38.64,-4.7
0.300,38.47,-3.897,38.67,-5.8
0.317,38.40,-4.622,38.68,-6.9
0.334,38.33,-5.296,38.69,-7.9
0.350,38.25,-5.939,38.70,-8.8
0.367,38.16,-6.543,38.71,-9.7
0.384,38.08,-7.104,38.73,-10.6
0.400,38.00,-7.627,38.76,-11.3
0.417,37.92,-8.082,38.77,-12.0
0.434,37.84,-8.481,38.78,-12.6
0.450,37.78,-8.817,38.79,-13.1
0.467,37.72,-9.095,38.80,-13.6
0.484,37.67,-9.310,38.81,-13.9
0.500,37.64,-9.461,38.81,-14.1
0.517,37.63,-9.534,38.82,-14.2
0.534,37.63,-9.531,38.82,-14.2
0.551,37.65,-9.463,38.82,-14.1
0.567,37.68,-9.337,38.82,-13.9
0.584,37.71,-9.150,38.80,-13.6
0.601,37.77,-8.890,38.80,-13.2
0.617,37.83,-8.565,38.79,-12.8
0.634,37.91,-8.181,38.78,-12.2
0.651,37.99,-7.739,38.77,-11.5
0.667,38.06,-7.242,38.75,-10.8
0.684,38.15,-6.696,38.73,-10.0
0.701,38.25,-6.094,38.74,-9.1
0.717,38.31,-5.475,38.70,-8.1
0.734,38.38,-4.810,38.68,-7.1
0.751,38.44,-4.109,38.66,-6.1
0.767,38.49,-3.389,38.64,-5.0
0.784,38.53,-2.644,38.62,-3.9
0.801,38.56,-1.895,38.61,-2.8
0.817,38.57,-1.130,38.59,-1.7
