m = 22.15
t,x,y,r,θ
0.000,30.88,22.79,38.37,36.4
0.017,31.29,22.43,38.50,35.6
0.033,31.62,21.58,38.28,34.3
0.050,32.19,20.71,38.28,32.7
0.067,32.84,19.68,38.28,30.9
0.083,33.51,18.49,38.27,28.9
0.100,34.22,17.13,38.26,26.6
0.117,34.92,15.68,38.28,24.2
0.133,35.61,14.05,38.28,21.5
0.150,36.26,12.26,38.28,18.7
0.167,36.85,10.36,38.28,15.7
0.184,37.36,8.369,38.29,12.6
0.200,37.78,6.268,38.30,9.4
0.217,38.10,4.128,38.32,6.2
0.234,38.30,1.936,38.35,2.9
0.250,38.36,-0.321,38.36,-0.5
0.267,38.31,-2.546,38.40,-3.8
0.284,38.16,-4.715,38.45,-7.0
0.300,37.88,-6.803,38.49,-10.2
0.317,37.51,-8.856,38.54,-13.3
0.334,37.04,-10.83,38.59,-16.3
0.350,36.48,-12.74,38.64,-19.3
0.367,35.88,-14.46,38.68,-21.9
0.384,35.21,-16.14,38.73,-24.6
0.400,34.56,-17.56,38.76,-26.9
0.417,33.90,-18.95,38.84,-29.2
0.434,33.25,-20.14,38.87,-31.2
0.450,32.67,-21.17,38.93,-32.9
0.467,32.13,-22.04,38.96,-34.4
0.484,31.68,-22.79,39.02,-35.7
0.500,31.31,-23.34,39.05,-36.7
0.517,31.06,-23.73,39.09,-37.4
0.534,30.92,-23.92,39.09,-37.7
0.551,30.89,-23.96,39.10,-37.8
0.567,30.97,-23.85,39.09,-37.6
0.584,31.19,-23.55,39.08,-37.0
0.601,31.47,-23.16,39.07,-36.3
0.617,31.88,-22.53,39.04,-35.2
0.634,32.37,-21.79,39.02,-33.9
0.651,32.95,-20.85,38.99,-32.3
0.667,33.56,-19.71,38.92,-30.4
0.684,34.21,-18.48,38.88,-28.4
0.701,34.89,-17.04,38.83,-26.0
0.717,35.56,-15.44,38.77,-23.5
0.734,36.20,-13.76,38.73,-20.8
0.751,36.82,-11.87,38.69,-17.9
0.767,37.35,-9.914,38.64,-14.9
0.784,37.78,-7.905,38.59,-11.8
0.801,38.11,-5.832,38.56,-8.7
0.817,38.36,-3.610,38.53,-5.4
0.834,38.47,-1.402,38.49,-2.1
0.851,38.45,0.842,38.46,1.3
0.868,38.32,3.010,38.44,4.5
0.884,38.05,5.162,38.40,7.7
0.901,37.69,7.281,38.39,10.9
0.918,37.21,9.310,38.36,14.0
0.934,36.68,11.25,38.36,17.1
0.951,36.06,13.05,38.35,19.9
0.968,35.41,14.76,38.37,22.6
0.984,34.73,16.30,38.37,25.1
1.001,34.04,17.70,38.37,27.5
1.018,33.37,18.93,38.37,29.6
1.034,32.73,20.01,38.36,31.4
1.051,32.15,20.93,38.37,33.1
1.068,31.62,21.69,38.35,34.5
1.084,31.20,22.33,38.36,35.6
1.101,30.88,22.80,38.39,36.4
1.118,30.67,23.15,38.43,37.0
1.134,30.51,23.28,38.38,37.3
1.151,30.52,23.30,38.40,37.4
1.168,30.62,23.16,38.39,37.1
1.185,30.82,22.85,38.37,36.6
1.201,31.15,22.41,38.37,35.7
1.218,32.04,21.05,38.34,33.3
1.235,32.04,21.05,38.34,33.3
1.251,32.61,20.16,38.34,31.7
