t,x,y,r,θ
0.000,31.09,21.28,37.68,34.4
0.017,31.43,20.86,37.72,33.6
0.033,31.89,20.30,37.80,32.5
0.050,32.40,19.55,37.85,31.1
0.067,32.98,18.62,37.87,29.5
0.083,33.58,17.54,37.89,27.6
0.100,34.22,16.32,37.91,25.5
0.117,34.87,14.95,37.94,23.2
0.133,35.52,13.47,37.99,20.8
0.150,36.14,11.84,38.03,18.1
0.167,36.72,10.09,38.08,15.4
0.184,37.23,8.225,38.12,12.5
0.200,37.67,6.258,38.18,9.4
0.217,38.02,4.208,38.25,6.3
0.234,38.24,2.094,38.30,3.1
0.250,38.35,-5.679E-2,38.35,-0.1
0.267,38.35,-2.227,38.42,-3.3
0.284,38.23,-4.396,38.48,-6.6
0.300,37.99,-6.544,38.55,-9.8
0.317,37.64,-8.639,38.61,-12.9
0.334,37.19,-10.67,38.69,-16.0
0.350,36.66,-12.60,38.77,-19.0
0.367,36.08,-14.43,38.86,-21.8
0.384,35.43,-16.12,38.92,-24.5
0.400,34.76,-17.65,38.99,-26.9
0.417,34.09,-19.05,39.05,-29.2
0.434,33.44,-20.31,39.13,-31.3
0.450,32.83,-21.41,39.19,-33.1
0.467,32.27,-22.37,39.27,-34.7
0.484,31.74,-23.16,39.30,-36.1
0.500,31.34,-23.79,39.34,-37.2
0.517,31.01,-24.25,39.37,-38.0
0.534,30.80,-24.57,39.40,-38.6
0.551,30.70,-24.72,39.42,-38.8
0.567,30.72,-24.69,39.41,-38.8
0.584,30.85,-24.49,39.38,-38.4
0.601,31.07,-24.15,39.35,-37.9
0.617,31.42,-23.63,39.31,-36.9
0.634,31.87,-22.96,39.28,-35.8
0.651,32.38,-22.13,39.22,-34.3
0.667,32.97,-21.13,39.16,-32.7
0.684,33.60,-19.98,39.09,-30.7
0.701,34.26,-18.68,39.02,-28.6
0.717,34.94,-17.21,38.95,-26.2
0.734,35.61,-15.62,38.89,-23.7
0.751,36.25,-13.88,38.82,-21.0
0.767,36.83,-12.01,38.74,-18.1
0.784,37.35,-10.04,38.68,-15.0
0.801,37.78,-7.983,38.61,-11.9
0.817,38.10,-5.857,38.55,-8.7
0.834,38.32,-3.689,38.50,-5.5
0.851,38.41,-1.512,38.44,-2.3
0.868,38.38,0.643,38.38,1.0
0.884,38.23,2.779,38.33,4.2
0.901,37.97,4.862,38.28,7.3
0.918,37.59,6.869,38.21,10.4
0.934,37.12,8.785,38.15,13.3
0.951,36.59,10.58,38.09,16.1
0.968,36.01,12.25,38.03,18.8
0.984,35.37,13.81,37.97,21.3
1.001,34.73,15.22,37.91,23.7
1.018,34.07,16.49,37.85,25.8
1.034,33.45,17.63,37.81,27.8
1.051,32.85,18.61,37.76,29.5
1.068,32.32,19.46,37.73,31.0
1.084,31.84,20.15,37.68,32.3
1.101,31.45,20.70,37.65,33.4
1.118,31.14,21.12,37.63,34.1
1.134,30.93,21.39,37.61,34.7
1.151,30.83,21.53,37.60,34.9
1.168,30.83,21.54,37.60,34.9
1.185,30.92,21.40,37.61,34.7
1.201,31.13,21.12,37.62,34.2
1.218,31.43,20.71,37.64,33.4
1.235,31.82,20.15,37.67,32.3
1.251,32.28,19.46,37.70,31.1
1.268,32.82,18.61,37.73,29.6
1.285,33.42,17.62,37.78,27.8
1.301,34.04,16.48,37.82,25.8
1.318,34.69,15.20,37.87,23.7
1.335,35.34,13.78,37.93,21.3
1.351,35.97,12.22,37.99,18.8
1.368,36.55,10.53,38.04,16.1
1.385,37.09,8.716,38.10,13.2
1.401,37.55,6.810,38.16,10.3
1.418,37.91,4.814,38.21,7.2
1.435,38.18,2.740,38.28,4.1
1.451,38.34,0.621,38.34,0.9
1.468,38.38,-1.527,38.41,-2.3
1.485,38.29,-3.678,38.47,-5.5
1.502,38.08,-5.813,38.52,-8.7
1.518,37.78,-7.910,38.60,-11.8
1.535,37.35,-9.938,38.65,-14.9
1.552,36.86,-11.89,38.73,-17.9
1.568,36.29,-13.72,38.80,-20.7
1.585,35.68,-15.44,38.87,-23.4
1.602,35.03,-17.01,38.94,-25.9
1.618,34.37,-18.47,39.02,-28.3
1.635,33.70,-19.78,39.08,-30.4
1.652,33.08,-20.95,39.16,-32.3
1.668,32.49,-21.92,39.20,-34.0
1.685,31.98,-22.77,39.26,-35.5
1.702,31.54,-23.44,39.30,-36.6
1.718,31.19,-23.95,39.33,-37.5
1.735,30.94,-24.30,39.34,-38.2
1.752,30.81,-24.49,39.36,-38.5
1.768,30.78,-24.53,39.36,-38.6
1.785,30.88,-24.41,39.36,-38.3
1.802,31.09,-24.12,39.35,-37.8
1.818,31.39,-23.67,39.32,-37.0
1.835,31.79,-23.04,39.27,-35.9
1.852,32.29,-22.25,39.21,-34.6
1.869,32.85,-21.29,39.15,-32.9
1.885,33.47,-20.17,39.08,-31.1
1.902,34.11,-18.92,39.01,-29.0
1.919,34.78,-17.52,38.94,-26.7
1.935,35.44,-15.96,38.87,-24.3
1.952,36.08,-14.27,38.80,-21.6
1.969,36.68,-12.46,38.74,-18.8
1.985,37.21,-10.54,38.67,-15.8
2.002,37.65,-8.518,38.60,-12.7
2.019,38.00,-6.439,38.54,-9.6
2.035,38.25,-4.304,38.49,-6.4
2.052,38.37,-2.162,38.43,-3.2
2.069,38.37,-2.720E-2,38.37,-0.0
2.085,38.25,2.105,38.30,3.1
2.102,38.01,4.172,38.24,6.3
2.119,37.67,6.170,38.17,9.3
2.135,37.25,8.080,38.12,12.2
2.152,36.74,9.897,38.05,15.1
2.169,36.18,11.60,38.00,17.8
2.186,35.58,13.16,37.93,20.3
2.202,34.94,14.61,37.87,22.7
2.219,34.31,15.91,37.82,24.9
2.236,33.67,17.10,37.77,26.9
2.252,33.08,18.11,37.72,28.7
2.269,32.53,18.99,37.67,30.3
2.286,32.04,19.72,37.62,31.6
2.302,31.64,20.32,37.60,32.7
2.319,31.31,20.76,37.57,33.5
2.336,31.08,21.08,37.55,34.1
2.352,30.94,21.25,37.53,34.5
2.369,30.90,21.28,37.52,34.6
2.386,30.97,21.20,37.53,34.4
2.402,31.15,20.96,37.54,33.9
2.419,31.41,20.60,37.57,33.3
2.436,31.77,20.09,37.59,32.3
2.452,32.21,19.44,37.62,31.1
2.469,32.73,18.65,37.66,29.7
2.486,33.30,17.70,37.71,28.0
2.502,33.90,16.62,37.76,26.1
2.519,34.54,15.40,37.82,24.0
2.536,35.18,14.03,37.88,21.7
2.553,35.81,12.52,37.94,19.3
2.569,36.40,10.89,38.00,16.7
2.586,36.95,9.131,38.07,13.9
2.603,37.42,7.273,38.12,11.0
2.619,37.82,5.314,38.19,8.0
2.636,38.11,3.272,38.25,4.9
2.653,38.30,1.183,38.32,1.8
2.669,38.37,-0.939,38.38,-1.4
2.686,38.33,-3.081,38.46,-4.6
2.703,38.17,-5.211,38.52,-7.8
2.719,37.89,-7.304,38.59,-10.9
2.736,37.51,-9.340,38.66,-14.0
2.753,37.05,-11.29,38.74,-17.0
2.769,36.51,-13.15,38.81,-19.8
2.786,35.92,-14.90,38.89,-22.5
2.803,35.28,-16.50,38.95,-25.1
2.819,34.64,-17.97,39.02,-27.4
2.836,33.98,-19.30,39.08,-29.6
2.853,33.35,-20.50,39.15,-31.6
2.870,32.76,-21.53,39.21,-33.3
2.886,32.25,-22.43,39.28,-34.8
2.903,31.79,-23.15,39.32,-36.1
2.920,31.41,-23.71,39.35,-37.0
2.936,31.15,-24.10,39.38,-37.7
2.953,30.99,-24.33,39.40,-38.1
2.970,30.94,-24.39,39.40,-38.2
2.986,31.01,-24.31,39.40,-38.1
3.003,31.17,-24.06,39.38,-37.7
3.020,31.45,-23.64,39.34,-36.9
3.036,31.82,-23.06,39.30,-35.9
3.053,32.28,-22.31,39.24,-34.7
3.070,32.83,-21.42,39.20,-33.1
3.086,33.42,-20.35,39.13,-31.3
3.103,34.06,-19.15,39.07,-29.3
3.120,34.71,-17.78,38.99,-27.1
3.136,35.36,-16.27,38.92,-24.7
3.153,35.99,-14.64,38.85,-22.1
3.170,36.57,-12.87,38.77,-19.4
3.187,37.11,-10.99,38.70,-16.5
3.203,37.57,-9.013,38.64,-13.5
3.220,37.94,-6.970,38.57,-10.4
3.237,38.20,-4.868,38.51,-7.3
3.253,38.39,-2.888,38.50,-4.3
3.270,38.38,-0.616,38.39,-0.9
3.287,38.30,1.492,38.33,2.2
3.303,38.10,3.543,38.26,5.3
3.320,37.80,5.556,38.20,8.4
3.337,37.40,7.484,38.14,11.3
3.353,36.92,9.309,38.08,14.2
3.370,36.40,11.03,38.03,16.9
3.387,35.80,12.63,37.97,19.4
3.403,35.19,14.10,37.91,21.8
3.420,34.57,15.43,37.86,24.1
3.437,33.94,16.63,37.80,26.1
3.453,33.34,17.68,37.74,27.9
3.470,32.79,18.59,37.69,29.5
3.487,32.29,19.36,37.65,30.9
3.503,31.87,19.98,37.62,32.1
3.520,31.52,20.47,37.59,33.0
3.537,31.27,20.83,37.57,33.7
3.554,31.10,21.05,37.56,34.1
3.570,31.04,21.15,37.56,34.3
3.587,31.08,21.10,37.57,34.2
3.604,31.22,20.92,37.58,33.8
3.620,31.47,20.59,37.60,33.2
3.637,31.79,20.13,37.63,32.3
3.654,32.21,19.51,37.66,31.2
3.670,32.70,18.76,37.70,29.8
3.687,33.25,17.87,37.75,28.3
3.704,33.84,16.82,37.79,26.4
3.720,34.46,15.64,37.84,24.4
3.737,35.09,14.32,37.90,22.2
3.754,35.72,12.85,37.96,19.8
3.770,36.31,11.26,38.02,17.2
3.787,36.86,9.548,38.07,14.5
3.804,37.34,7.728,38.13,11.7
3.820,37.75,5.816,38.20,8.8
3.837,38.07,3.804,38.26,5.7
3.854,38.28,1.736,38.32,2.6
3.871,38.37,-0.362,38.37,-0.5
3.887,38.36,-2.486,38.44,-3.7
3.904,38.22,-4.596,38.50,-6.9
3.921,37.97,-6.692,38.56,-10.0
3.937,37.63,-8.732,38.63,-13.1
3.954,37.18,-10.70,38.69,-16.1
3.971,36.67,-12.57,38.77,-18.9
3.987,36.10,-14.33,38.84,-21.7
4.004,35.49,-15.96,38.92,-24.2
4.021,34.85,-17.45,38.98,-26.6
4.037,34.21,-18.81,39.04,-28.8
4.054,33.58,-20.02,39.10,-30.8
4.071,33.00,-21.09,39.17,-32.6
4.087,32.46,-22.00,39.22,-34.1
4.104,32.00,-22.76,39.27,-35.4
4.121,31.61,-23.35,39.30,-36.5
4.137,31.31,-23.79,39.32,-37.2
4.154,31.13,-24.06,39.35,-37.7
4.171,31.05,-24.17,39.35,-37.9
4.188,31.08,-24.11,39.34,-37.8
4.204,31.22,-23.91,39.33,-37.5
4.221,31.47,-23.53,39.30,-36.8
4.238,31.83,-23.00,39.27,-35.9
4.254,32.26,-22.31,39.22,-34.7
4.271,32.77,-21.46,39.17,-33.2
4.288,33.34,-20.44,39.11,-31.5
4.304,33.96,-19.27,39.05,-29.6
4.321,34.61,-17.96,38.99,-27.4
4.338,35.24,-16.49,38.91,-25.1
4.354,35.87,-14.91,38.84,-22.6
4.371,36.46,-13.18,38.77,-19.9
4.388,36.99,-11.35,38.70,-17.1
