m = 22.15
t,x,y,r,θ
0.000,26.44,5.450,27.00,11.6
0.017,26.45,5.386,26.99,11.5
0.033,26.49,5.274,27.01,11.3
0.050,26.52,5.088,27.00,10.9
0.067,26.60,4.853,27.04,10.3
0.083,26.70,4.545,27.08,9.7
0.100,26.76,4.172,27.08,8.9
0.117,26.81,3.747,27.07,8.0
0.133,26.88,3.324,27.09,7.0
0.150,26.93,2.824,27.08,6.0
0.167,26.99,2.287,27.09,4.8
0.184,27.04,1.737,27.10,3.7
0.200,27.07,1.172,27.09,2.5
0.217,27.09,0.608,27.10,1.3
0.234,27.11,-7.943E-3,27.11,-0.0
0.250,27.10,-0.581,27.10,-1.2
0.267,27.07,-1.187,27.10,-2.5
0.284,27.04,-1.781,27.10,-3.8
0.300,27.00,-2.318,27.10,-4.9
0.317,26.96,-2.843,27.11,-6.0
0.334,26.90,-3.325,27.11,-7.0
0.350,26.84,-3.772,27.10,-8.0
0.367,26.78,-4.164,27.10,-8.8
0.384,26.72,-4.533,27.10,-9.6
0.400,26.65,-4.818,27.08,-10.2
0.417,26.62,-5.066,27.09,-10.8
0.434,26.57,-5.242,27.08,-11.2
0.450,26.53,-5.362,27.07,-11.4
0.467,26.53,-5.436,27.08,-11.6
0.484,26.53,-5.428,27.08,-11.6
0.501,26.55,-5.363,27.08,-11.4
0.517,26.57,-5.231,27.08,-11.1
0.534,26.61,-5.033,27.08,-10.7
0.551,26.67,-4.787,27.09,-10.2
0.567,26.72,-4.487,27.10,-9.5
0.584,26.78,-4.128,27.09,-8.8
0.601,26.84,-3.726,27.09,-7.9
0.617,26.89,-3.271,27.09,-6.9
0.634,26.94,-2.770,27.08,-5.9
0.651,27.00,-2.244,27.09,-4.8
0.667,27.03,-1.715,27.08,-3.6
0.684,27.06,-1.166,27.09,-2.5
0.701,27.08,-0.562,27.08,-1.2
0.717,27.08,2.462E-2,27.08,0.1
0.734,27.09,0.576,27.09,1.2
0.751,27.06,1.163,27.09,2.5
0.767,27.03,1.712,27.08,3.6
0.784,26.98,2.241,27.08,4.7
0.801,26.94,2.737,27.08,5.8
0.817,26.89,3.217,27.08,6.8
0.834,26.83,3.655,27.08,7.8
0.851,26.77,4.041,27.07,8.6
0.868,26.71,4.347,27.06,9.2
0.884,26.65,4.620,27.05,9.8
0.901,26.62,4.861,27.06,10.3
0.918,26.59,5.017,27.06,10.7
0.934,26.57,5.110,27.06,10.9
0.951,26.54,5.152,27.03,11.0
0.968,26.55,5.131,27.04,10.9
0.984,26.55,5.041,27.03,10.7
1.001,26.59,4.909,27.04,10.5
1.018,26.62,4.712,27.04,10.0
1.034,26.67,4.457,27.04,9.5
1.051,26.73,4.133,27.05,8.8
1.068,26.78,3.767,27.05,8.0
1.084,26.84,3.353,27.05,7.1
1.101,26.90,2.901,27.05,6.2
1.118,26.95,2.411,27.05,5.1
1.134,26.98,1.899,27.05,4.0
1.151,27.02,1.369,27.05,2.9
1.168,27.03,0.798,27.05,1.7
1.185,27.05,0.246,27.05,0.5
1.201,27.05,-0.321,27.05,-0.7
1.218,27.03,-0.882,27.05,-1.9
1.235,27.02,-1.430,27.06,-3.0
1.251,26.99,-1.979,27.06,-4.2
1.268,26.95,-2.483,27.06,-5.3
1.285,26.90,-2.970,27.07,-6.3
1.301,26.84,-3.417,27.06,-7.3
1.318,26.79,-3.826,27.06,-8.1
1.335,26.73,-4.190,27.06,-8.9
1.351,26.68,-4.510,27.06,-9.6
1.368,26.63,-4.780,27.06,-10.2
1.385,26.59,-4.983,27.05,-10.6
1.401,26.57,-5.141,27.06,-11.0
1.418,26.55,-5.229,27.06,-11.1
1.435,26.54,-5.248,27.05,-11.2
1.451,26.55,-5.218,27.06,-11.1
1.468,26.58,-5.122,27.07,-10.9
1.485,26.60,-4.966,27.06,-10.6
1.502,26.64,-4.747,27.06,-10.1
1.518,26.69,-4.485,27.06,-9.5
1.535,26.73,-4.160,27.05,-8.8
1.552,26.79,-3.797,27.06,-8.1
1.568,26.84,-3.389,27.05,-7.2
1.585,26.90,-2.938,27.06,-6.2
1.602,26.94,-2.452,27.06,-5.2
1.618,26.99,-1.959,27.06,-4.2
1.635,27.01,-1.405,27.05,-3.0
1.652,27.03,-0.865,27.05,-1.8
1.668,27.05,-0.322,27.05,-0.7
1.685,27.06,0.245,27.06,0.5
1.702,27.03,0.794,27.05,1.7
1.718,27.01,1.337,27.04,2.8
1.735,26.98,1.856,27.04,3.9
