m = 6.07
t,x,y,r,θ
0.000,28.89,24.75,38.04,40.6
0.017,29.63,23.91,38.07,38.9
0.033,30.56,23.66,38.65,37.7
0.050,30.90,21.89,37.87,35.3
0.067,32.12,20.32,38.01,32.3
0.083,33.06,18.89,38.08,29.7
0.100,34.13,17.59,38.40,27.3
0.117,34.92,15.80,38.33,24.4
0.133,35.66,13.88,38.27,21.3
0.150,36.35,11.81,38.22,18.0
0.167,36.90,9.577,38.12,14.6
0.184,37.42,7.193,38.10,10.9
0.200,37.83,4.719,38.12,7.1
0.217,38.13,2.157,38.19,3.2
0.234,38.24,-0.334,38.24,-0.5
0.250,38.18,-2.855,38.29,-4.3
0.267,37.96,-5.370,38.34,-8.1
0.284,37.61,-7.801,38.41,-11.7
0.300,37.15,-10.22,38.53,-15.4
0.317,36.57,-12.42,38.62,-18.8
0.334,35.89,-14.50,38.70,-22.0
0.350,35.13,-16.41,38.77,-25.0
0.367,34.31,-18.20,38.83,-27.9
0.384,33.44,-19.80,38.86,-30.6
0.400,32.65,-21.11,38.88,-32.9
0.417,31.84,-22.31,38.87,-35.0
0.434,31.07,-23.42,38.91,-37.0
0.450,30.42,-24.24,38.90,-38.5
0.467,29.85,-24.92,38.89,-39.8
0.484,29.43,-25.41,38.88,-40.8
0.500,29.15,-25.76,38.90,-41.5
0.517,29.00,-25.98,38.94,-41.9
0.534,29.00,-26.03,38.97,-41.9
0.551,29.14,-25.88,38.98,-41.6
0.567,29.40,-25.59,38.97,-41.0
0.584,29.79,-25.13,38.98,-40.1
0.601,30.31,-24.47,38.96,-38.9
0.617,30.96,-23.63,38.95,-37.4
0.634,31.69,-22.57,38.90,-35.5
0.651,32.48,-21.39,38.89,-33.4
0.667,33.29,-20.09,38.88,-31.1
0.684,34.13,-18.45,38.80,-28.4
0.701,34.97,-16.64,38.72,-25.4
0.717,35.76,-14.71,38.67,-22.4
0.734,36.47,-12.72,38.63,-19.2
0.751,37.15,-10.41,38.58,-15.6
0.767,37.67,-8.093,38.53,-12.1
0.784,38.06,-5.737,38.49,-8.6
0.801,38.31,-3.226,38.45,-4.8
0.817,38.42,-0.745,38.43,-1.1
0.834,38.36,1.772,38.40,2.6
0.851,38.15,4.201,38.38,6.3
0.868,37.78,6.533,38.34,9.8
0.884,37.26,8.707,38.26,13.2
0.901,36.63,10.85,38.21,16.5
0.918,35.92,12.90,38.17,19.8
0.934,35.08,14.63,38.01,22.6
0.951,34.29,16.43,38.02,25.6
0.968,33.40,17.91,37.90,28.2
0.984,32.60,19.40,37.93,30.8
1.001,31.74,20.58,37.83,33.0
1.018,31.00,21.64,37.81,34.9
1.034,30.31,22.49,37.75,36.6
1.051,29.78,23.26,37.79,38.0
1.068,29.32,23.82,37.78,39.1
1.084,28.99,24.27,37.80,39.9
1.101,28.77,24.55,37.82,40.5
1.118,28.67,24.63,37.80,40.7
1.134,28.69,24.53,37.75,40.5
1.151,28.88,24.32,37.76,40.1
1.168,29.18,23.97,37.76,39.4
1.185,29.62,23.44,37.77,38.4
1.201,30.15,22.75,37.77,37.0
1.218,30.80,21.92,37.80,35.4
1.235,31.54,20.97,37.88,33.6
1.251,32.33,19.82,37.92,31.5
1.268,33.13,18.44,37.91,29.1
1.285,33.97,16.97,37.97,26.6
1.301,34.82,15.36,38.06,23.8
1.318,35.67,13.68,38.20,21.0
1.335,36.41,11.76,38.27,17.9
1.351,37.04,9.661,38.28,14.6
1.368,37.58,7.458,38.31,11.2
1.385,37.96,5.127,38.30,7.7
1.401,38.22,2.711,38.31,4.1
1.418,38.32,0.323,38.32,0.5
1.435,38.32,-2.051,38.37,-3.1
1.451,38.16,-4.447,38.42,-6.6
1.468,37.85,-6.798,38.45,-10.2
1.485,37.36,-9.109,38.46,-13.7
1.502,36.84,-11.24,38.52,-17.0
1.518,36.20,-13.29,38.57,-20.2
1.535,35.50,-15.19,38.61,-23.2
1.552,34.78,-16.98,38.70,-26.0
1.568,34.04,-18.56,38.77,-28.6
1.585,33.28,-19.98,38.82,-31.0
1.602,32.54,-21.26,38.88,-33.2
1.618,31.86,-22.38,38.94,-35.1
1.635,31.26,-23.26,38.96,-36.7
1.652,30.72,-24.01,38.99,-38.0
1.668,30.32,-24.64,39.06,-39.1
1.685,30.01,-25.07,39.10,-39.9
1.702,29.84,-25.31,39.13,-40.3
1.718,29.79,-25.39,39.14,-40.4
1.735,29.89,-25.25,39.13,-40.2
1.752,30.11,-24.96,39.11,-39.7
1.768,30.46,-24.44,39.06,-38.7
1.785,30.94,-23.79,39.03,-37.6
1.802,31.48,-22.99,38.99,-36.1
1.818,32.13,-22.00,38.94,-34.4
1.835,32.85,-20.78,38.87,-32.3
1.852,33.60,-19.46,38.83,-30.1
1.869,34.39,-17.87,38.76,-27.5
1.885,35.15,-16.23,38.72,-24.8
1.902,35.87,-14.35,38.63,-21.8
1.919,36.57,-12.36,38.60,-18.7
1.935,37.15,-10.27,38.55,-15.5
1.952,37.63,-8.105,38.49,-12.2
1.969,38.00,-5.808,38.44,-8.7
1.985,38.27,-3.418,38.43,-5.1
2.002,38.39,-1.086,38.41,-1.6
2.019,38.32,1.227,38.34,1.8
