m = 22.15
t,x,y,r,θ
0.000,15.22,21.63,26.45,54.9
0.017,15.93,21.19,26.51,53.1
0.033,16.83,20.51,26.53,50.6
0.050,17.87,19.60,26.53,47.6
0.067,19.05,18.49,26.54,44.1
0.083,20.27,17.12,26.54,40.2
0.100,21.51,15.51,26.52,35.8
0.117,22.74,13.66,26.53,31.0
0.133,23.85,11.58,26.51,25.9
0.150,24.85,9.294,26.53,20.5
0.167,25.64,6.765,26.52,14.8
0.184,26.20,4.109,26.52,8.9
0.200,26.51,1.390,26.55,3.0
0.217,26.55,-1.374,26.59,-3.0
0.234,26.29,-4.141,26.62,-9.0
0.250,25.76,-6.755,26.63,-14.7
0.267,25.04,-9.228,26.68,-20.2
0.284,24.13,-11.61,26.78,-25.7
0.300,23.04,-13.75,26.83,-30.8
0.317,21.84,-15.64,26.87,-35.6
0.334,20.61,-17.27,26.88,-40.0
0.350,19.39,-18.63,26.89,-43.9
0.367,18.24,-19.73,26.87,-47.2
0.384,17.21,-20.66,26.89,-50.2
0.400,16.32,-21.39,26.90,-52.7
0.417,15.60,-21.93,26.91,-54.6
0.434,15.08,-22.29,26.91,-55.9
0.450,14.78,-22.50,26.92,-56.7
0.467,14.68,-22.56,26.91,-56.9
0.484,14.80,-22.47,26.91,-56.6
0.500,15.14,-22.23,26.90,-55.7
0.517,15.70,-21.83,26.89,-54.3
0.534,16.46,-21.25,26.88,-52.2
0.551,17.39,-20.49,26.88,-49.7
0.567,18.46,-19.50,26.86,-46.6
0.584,19.64,-18.28,26.83,-42.9
0.601,20.86,-16.82,26.80,-38.9
0.617,22.07,-15.16,26.78,-34.5
0.634,23.26,-13.21,26.75,-29.6
0.651,24.32,-11.02,26.70,-24.4
0.667,25.22,-8.687,26.67,-19.0
0.684,25.90,-6.217,26.63,-13.5
0.701,26.36,-3.603,26.60,-7.8
0.717,26.56,-0.901,26.58,-1.9
0.734,26.49,1.820,26.55,3.9
0.751,26.16,4.479,26.54,9.7
0.767,25.57,7.039,26.52,15.4
0.784,24.78,9.431,26.52,20.8
0.801,23.83,11.64,26.52,26.0
0.817,22.74,13.62,26.51,30.9
0.834,21.59,15.38,26.51,35.5
0.851,20.43,16.90,26.51,39.6
0.868,19.29,18.20,26.52,43.3
0.884,18.21,19.27,26.51,46.6
0.901,17.26,20.12,26.51,49.4
0.918,16.46,20.78,26.51,51.6
0.934,15.83,21.28,26.52,53.4
0.951,15.40,21.58,26.51,54.5
0.968,15.18,21.72,26.50,55.1
0.984,15.39,21.58,26.50,54.5
1.001,15.38,21.58,26.50,54.5
1.018,15.82,21.27,26.50,53.4
1.034,16.46,20.77,26.50,51.6
1.051,17.28,20.09,26.51,49.3
1.068,18.26,19.21,26.51,46.5
1.084,19.34,18.11,26.50,43.1
1.101,20.50,16.79,26.50,39.3
1.118,21.69,15.23,26.50,35.1
1.134,22.84,13.44,26.50,30.5
1.151,23.92,11.42,26.50,25.5
1.168,24.86,9.174,26.50,20.3
1.185,25.64,6.759,26.51,14.8
1.201,26.18,4.203,26.52,9.1
1.218,26.50,1.536,26.54,3.3
1.235,26.53,-1.164,26.56,-2.5
1.251,26.31,-3.845,26.59,-8.3
1.268,25.84,-6.404,26.62,-13.9
1.285,25.15,-8.827,26.65,-19.3
1.301,24.25,-11.13,26.68,-24.7
1.318,23.25,-13.16,26.71,-29.5
1.335,22.12,-15.02,26.74,-34.2
1.351,20.98,-16.61,26.76,-38.4
1.368,19.85,-17.98,26.78,-42.2
1.385,18.77,-19.12,26.79,-45.5
1.401,17.79,-20.05,26.80,-48.4
1.418,16.95,-20.79,26.82,-50.8
1.435,16.27,-21.36,26.85,-52.7
1.451,15.77,-21.72,26.84,-54.0
1.468,15.47,-21.93,26.84,-54.8
1.485,15.38,-21.97,26.81,-55.0
1.502,15.50,-21.89,26.82,-54.7
1.518,15.83,-21.66,26.83,-53.8
1.535,16.36,-21.26,26.83,-52.4
1.552,17.08,-20.67,26.81,-50.4
1.568,17.96,-19.88,26.79,-47.9
1.585,18.98,-18.88,26.77,-44.9
1.602,20.08,-17.69,26.76,-41.4
1.618,21.24,-16.22,26.72,-37.4
1.635,22.38,-14.58,26.71,-33.1
1.652,23.47,-12.70,26.69,-28.4
1.668,24.46,-10.60,26.65,-23.4
1.685,25.30,-8.308,26.63,-18.2
1.702,25.94,-5.838,26.59,-12.7
1.718,26.35,-3.286,26.56,-7.1
1.735,26.53,-0.648,26.54,-1.4
1.752,26.45,1.961,26.52,4.2
1.768,26.10,4.543,26.50,9.9
1.785,25.53,7.009,26.48,15.3
1.802,24.78,9.332,26.48,20.6
1.818,23.87,11.48,26.48,25.7
1.835,22.83,13.41,26.48,30.4
1.852,21.74,15.12,26.48,34.8
1.869,20.63,16.60,26.48,38.8
