m = 22.15
t,x,y,r,θ
0.000,22.82,13.15,26.34,30.0
0.017,23.06,12.69,26.32,28.8
0.033,23.44,12.05,26.35,27.2
0.050,23.82,11.29,26.36,25.4
0.067,24.23,10.41,26.37,23.2
0.083,24.62,9.432,26.37,21.0
0.100,25.03,8.298,26.37,18.3
0.117,25.42,7.036,26.38,15.5
0.133,25.78,5.687,26.40,12.4
0.150,26.06,4.240,26.40,9.2
0.167,26.26,2.744,26.41,6.0
0.184,26.37,1.204,26.40,2.6
0.200,26.40,-0.358,26.41,-0.8
0.217,26.34,-1.931,26.41,-4.2
0.234,26.18,-3.470,26.41,-7.5
0.250,25.95,-4.954,26.42,-10.8
0.267,25.65,-6.368,26.43,-13.9
0.284,25.30,-7.722,26.45,-17.0
0.300,24.92,-8.949,26.47,-19.8
0.317,24.52,-10.07,26.50,-22.3
0.334,24.12,-11.04,26.53,-24.6
0.350,23.73,-11.86,26.53,-26.6
0.367,23.38,-12.53,26.53,-28.2
0.384,23.09,-13.07,26.53,-29.5
0.400,22.86,-13.48,26.54,-30.5
0.417,22.71,-13.73,26.54,-31.2
0.434,22.64,-13.83,26.53,-31.4
0.450,22.66,-13.78,26.52,-31.3
0.467,22.76,-13.60,26.51,-30.9
0.484,22.93,-13.27,26.50,-30.1
0.500,23.18,-12.82,26.49,-28.9
0.517,23.50,-12.21,26.48,-27.5
0.534,23.85,-11.43,26.45,-25.6
0.551,24.25,-10.52,26.44,-23.5
0.567,24.65,-9.460,26.40,-21.0
0.584,25.04,-8.296,26.38,-18.3
0.601,25.41,-7.023,26.36,-15.4
0.617,25.74,-5.641,26.35,-12.4
0.634,26.01,-4.194,26.34,-9.2
0.651,26.20,-2.699,26.34,-5.9
0.667,26.31,-1.162,26.33,-2.5
0.684,26.32,0.406,26.33,0.9
0.701,26.27,1.956,26.34,4.3
0.717,26.11,3.462,26.34,7.6
0.734,25.88,4.908,26.34,10.7
0.751,25.58,6.278,26.34,13.8
0.767,25.24,7.564,26.35,16.7
0.784,24.86,8.737,26.35,19.4
0.801,24.47,9.779,26.35,21.8
0.817,24.08,10.71,26.35,24.0
0.834,23.70,11.49,26.34,25.9
0.851,23.36,12.15,26.33,27.5
0.868,23.09,12.68,26.34,28.8
0.884,22.86,13.08,26.34,29.8
0.901,22.71,13.33,26.33,30.4
0.918,22.63,13.45,26.32,30.7
0.934,22.64,13.43,26.32,30.7
0.951,22.72,13.29,26.32,30.3
0.968,22.87,13.02,26.32,29.7
0.984,23.10,12.61,26.32,28.6
1.001,23.39,12.08,26.33,27.3
1.018,23.73,11.40,26.32,25.7
1.034,24.12,10.60,26.34,23.7
1.051,24.51,9.678,26.36,21.5
1.068,24.91,8.617,26.35,19.1
1.084,25.28,7.457,26.36,16.4
1.101,25.62,6.196,26.36,13.6
1.118,25.91,4.834,26.36,10.6
1.134,26.15,3.411,26.37,7.4
1.151,26.31,1.919,26.38,4.2
1.168,26.38,0.410,26.38,0.9
1.185,26.37,-1.106,26.39,-2.4
1.201,26.28,-2.619,26.41,-5.7
1.218,26.10,-4.097,26.42,-8.9
1.235,25.84,-5.488,26.42,-12.0
1.251,25.54,-6.825,26.43,-15.0
1.268,25.18,-8.053,26.44,-17.7
1.285,24.80,-9.181,26.45,-20.3
1.301,24.41,-10.18,26.45,-22.6
1.318,24.04,-11.09,26.48,-24.8
1.335,23.69,-11.83,26.48,-26.5
1.351,23.38,-12.45,26.49,-28.0
1.368,23.14,-12.92,26.50,-29.2
1.385,22.96,-13.25,26.51,-30.0
1.401,22.86,-13.44,26.51,-30.4
1.418,22.83,-13.49,26.52,-30.6
1.435,22.89,-13.39,26.52,-30.3
1.451,23.03,-13.14,26.51,-29.7
1.468,23.23,-12.75,26.50,-28.8
1.485,23.50,-12.21,26.48,-27.5
1.502,23.83,-11.53,26.47,-25.8
1.518,24.18,-10.70,26.44,-23.9
1.535,24.56,-9.749,26.42,-21.7
1.552,24.95,-8.665,26.41,-19.2
1.568,25.31,-7.476,26.39,-16.5
1.585,25.65,-6.198,26.39,-13.6
1.602,25.93,-4.838,26.37,-10.6
1.618,26.14,-3.399,26.36,-7.4
1.635,26.28,-1.909,26.35,-4.2
1.652,26.34,-0.391,26.35,-0.8
1.668,26.32,1.122,26.34,2.4
1.685,26.21,2.597,26.34,5.7
1.702,26.04,4.033,26.35,8.8
1.718,25.78,5.403,26.34,11.8
1.735,25.47,6.688,26.33,14.7
1.752,25.14,7.875,26.34,17.4
1.768,24.77,8.952,26.33,19.9
1.785,24.39,9.908,26.33,22.1
1.802,24.03,10.74,26.32,24.1
1.818,23.69,11.44,26.31,25.8
1.835,23.40,12.02,26.31,27.2
1.852,23.16,12.45,26.30,28.3
1.869,22.98,12.78,26.30,29.1
1.885,22.87,12.97,26.29,29.6
1.902,22.84,13.02,26.29,29.7
1.919,22.89,12.94,26.29,29.5
1.935,23.01,12.74,26.30,29.0
1.952,23.19,12.41,26.30,28.1
1.969,23.44,11.95,26.31,27.0
1.985,23.74,11.36,26.32,25.6
2.002,24.08,10.64,26.33,23.8
2.019,24.44,9.797,26.33,21.8
2.035,24.82,8.831,26.34,19.6
2.052,25.18,7.744,26.34,17.1
2.069,25.52,6.566,26.35,14.4
2.085,25.81,5.288,26.35,11.6
2.102,26.06,3.932,26.36,8.6
2.119,26.25,2.523,26.37,5.5
2.135,26.35,1.083,26.38,2.4
2.152,26.38,-0.397,26.38,-0.9
2.169,26.32,-1.874,26.39,-4.1
2.186,26.20,-3.330,26.41,-7.2
2.202,25.98,-4.720,26.40,-10.3
2.219,25.71,-6.051,26.41,-13.2
2.236,25.40,-7.297,26.42,-16.0
2.252,25.04,-8.445,26.42,-18.6
2.269,24.67,-9.476,26.42,-21.0
2.286,24.30,-10.40,26.43,-23.2
2.302,23.95,-11.18,26.43,-25.0
2.319,23.64,-11.85,26.45,-26.6
2.336,23.39,-12.39,26.46,-27.9
2.352,23.19,-12.77,26.47,-28.8
2.369,23.06,-13.01,26.47,-29.4
2.386,23.00,-13.12,26.48,-29.7
2.402,23.02,-13.09,26.48,-29.6
2.419,23.12,-12.90,26.48,-29.2
2.436,23.28,-12.59,26.46,-28.4
2.452,23.51,-12.12,26.45,-27.3
2.469,23.80,-11.51,26.43,-25.8
2.486,24.12,-10.76,26.41,-24.0
2.502,24.48,-9.878,26.40,-22.0
2.519,24.85,-8.875,26.39,-19.7
2.536,25.21,-7.756,26.37,-17.1
2.553,25.54,-6.551,26.37,-14.4
2.569,25.83,-5.261,26.36,-11.5
2.586,26.06,-3.876,26.35,-8.5
2.603,26.23,-2.453,26.35,-5.3
2.619,26.32,-0.994,26.34,-2.2
2.636,26.34,0.465,26.34,1.0
2.653,26.27,1.919,26.34,4.2
2.669,26.13,3.325,26.34,7.3
2.686,25.92,4.679,26.34,10.2
2.703,25.65,5.961,26.34,13.1
2.719,25.35,7.161,26.34,15.8
2.736,25.01,8.244,26.33,18.2
2.753,24.66,9.229,26.33,20.5
2.769,24.31,10.08,26.32,22.5
2.786,23.99,10.83,26.32,24.3
2.803,23.70,11.45,26.32,25.8
2.819,23.45,11.92,26.31,27.0
2.836,23.26,12.28,26.30,27.8
2.853,23.14,12.50,26.30,28.4
2.870,23.08,12.59,26.29,28.6
2.886,23.08,12.59,26.29,28.6
2.903,23.15,12.45,26.29,28.3
2.920,23.31,12.17,26.29,27.6
2.936,23.53,11.77,26.31,26.6
2.953,23.79,11.25,26.32,25.3
2.970,24.10,10.60,26.33,23.7
2.986,24.44,9.843,26.35,21.9
3.003,24.79,8.941,26.35,19.8
3.020,25.14,7.938,26.36,17.5
3.036,25.46,6.835,26.36,15.0
3.053,25.76,5.625,26.37,12.3
3.070,26.01,4.344,26.37,9.5
3.086,26.21,2.994,26.38,6.5
3.103,26.35,1.600,26.39,3.5
3.120,26.40,0.179,26.40,0.4
3.136,26.37,-1.248,26.40,-2.7
3.153,26.27,-2.669,26.41,-5.8
3.170,26.10,-4.031,26.41,-8.8
3.187,25.87,-5.363,26.42,-11.7
3.203,25.59,-6.600,26.43,-14.5
3.220,25.27,-7.748,26.43,-17.0
3.237,24.93,-8.817,26.45,-19.5
3.253,24.58,-9.745,26.44,-21.6
3.270,24.24,-10.59,26.45,-23.6
3.287,23.93,-11.29,26.47,-25.3
3.303,23.66,-11.86,26.47,-26.6
3.320,23.45,-12.29,26.48,-27.7
3.337,23.30,-12.58,26.48,-28.4
3.353,23.22,-12.72,26.48,-28.7
3.370,23.20,-12.74,26.47,-28.8
3.387,23.28,-12.60,26.47,-28.4
3.403,23.41,-12.34,26.46,-27.8
3.420,23.59,-11.94,26.44,-26.8
3.437,23.85,-11.38,26.43,-25.5
3.453,24.14,-10.71,26.41,-23.9
3.470,24.47,-9.886,26.39,-22.0
3.487,24.81,-8.951,26.38,-19.8
3.503,25.15,-7.914,26.37,-17.5
3.520,25.46,-6.775,26.34,-14.9
3.537,25.75,-5.539,26.34,-12.1
3.554,25.99,-4.239,26.33,-9.3
3.570,26.17,-2.865,26.33,-6.2
3.587,26.28,-1.464,26.32,-3.2
3.604,26.32,-5.304E-2,26.32,-0.1
3.620,26.29,1.362,26.32,3.0
3.637,26.18,2.734,26.33,6.0
3.654,26.01,4.072,26.33,8.9
3.670,25.78,5.345,26.33,11.7
3.687,25.50,6.525,26.32,14.4
3.704,25.19,7.615,26.32,16.8
3.720,24.86,8.608,26.31,19.1
3.737,24.54,9.488,26.31,21.1
3.754,24.22,10.25,26.30,22.9
3.770,23.94,10.91,26.30,24.5
3.787,23.68,11.41,26.28,25.7
3.804,23.48,11.82,26.28,26.7
3.820,23.34,12.10,26.29,27.4
3.837,23.25,12.25,26.28,27.8
3.854,23.25,12.27,26.29,27.8
3.871,23.29,12.17,26.28,27.6
3.887,23.41,11.95,26.29,27.0
3.904,23.59,11.59,26.29,26.2
3.921,23.83,11.12,26.29,25.0
3.937,24.10,10.51,26.29,23.6
3.954,24.42,9.798,26.31,21.9
3.971,24.75,8.962,26.32,19.9
3.987,25.08,8.027,26.33,17.7
4.004,25.39,6.991,26.34,15.4
4.021,25.69,5.844,26.34,12.8
4.037,25.94,4.646,26.35,10.2
4.054,26.14,3.366,26.36,7.3
4.071,26.28,2.024,26.35,4.4
4.087,26.36,0.667,26.36,1.4
4.104,26.35,-0.723,26.36,-1.6
4.121,26.28,-2.101,26.36,-4.6
4.137,26.14,-3.441,26.36,-7.5
4.154,25.94,-4.737,26.37,-10.3
4.171,25.69,-5.969,26.37,-13.1
4.188,25.40,-7.132,26.38,-15.7
4.204,25.08,-8.189,26.39,-18.1
4.221,24.76,-9.139,26.39,-20.3
4.238,24.44,-9.981,26.40,-22.2
4.254,24.14,-10.71,26.41,-23.9
4.271,23.87,-11.31,26.42,-25.4
4.288,23.66,-11.77,26.42,-26.5
4.304,23.49,-12.09,26.42,-27.2
4.321,23.40,-12.28,26.43,-27.7
4.338,23.36,-12.35,26.43,-27.9
4.354,23.40,-12.26,26.42,-27.7
4.371,23.51,-12.04,26.41,-27.1
4.388,23.66,-11.69,26.39,-26.3
4.404,23.89,-11.20,26.38,-25.1
4.421,24.17,-10.57,26.38,-23.6
4.438,24.47,-9.810,26.36,-21.8
4.454,24.79,-8.953,26.36,-19.9
4.471,25.12,-7.975,26.36,-17.6
4.488,25.43,-6.891,26.34,-15.2
4.505,25.71,-5.738,26.34,-12.6
4.521,25.95,-4.490,26.34,-9.8
4.538,26.14,-3.192,26.33,-7.0
4.555,26.26,-1.850,26.33,-4.0
4.571,26.33,-0.481,26.33,-1.0
4.588,26.32,0.885,26.34,1.9
4.605,26.25,2.231,26.34,4.9
4.621,26.10,3.529,26.34,7.7
4.638,25.91,4.787,26.35,10.5
4.655,25.67,5.959,26.35,13.1
4.671,25.38,7.053,26.34,15.5
4.688,25.08,8.047,26.34,17.8
4.705,24.77,8.936,26.33,19.8
4.721,24.46,9.723,26.32,21.7
4.738,24.18,10.38,26.31,23.2
4.755,23.93,10.92,26.30,24.5
4.771,23.72,11.36,26.30,25.6
4.788,23.56,11.67,26.29,26.4
4.805,23.45,11.86,26.28,26.8
4.821,23.42,11.92,26.28,27.0
4.838,23.45,11.84,26.27,26.8
4.855,23.55,11.67,26.28,26.4
4.872,23.70,11.36,26.28,25.6
4.888,23.90,10.94,26.29,24.6
4.905,24.15,10.40,26.29,23.3
4.922,24.44,9.753,26.31,21.8
4.938,24.74,8.968,26.31,19.9
4.955,25.05,8.082,26.32,17.9
4.972,25.37,7.085,26.34,15.6
4.988,25.65,6.015,26.35,13.2
5.005,25.90,4.863,26.35,10.6
5.022,26.11,3.625,26.36,7.9
5.038,26.26,2.340,26.37,5.1
5.055,26.35,1.030,26.38,2.2
5.072,26.37,-0.317,26.37,-0.7
5.088,26.33,-1.647,26.38,-3.6
5.105,26.22,-2.953,26.38,-6.4
5.122,26.05,-4.230,26.39,-9.2
5.138,25.82,-5.451,26.39,-11.9
5.155,25.56,-6.598,26.39,-14.5
5.172,25.23,-7.743,26.39,-17.1
5.189,24.95,-8.633,26.41,-19.1
5.205,24.66,-9.491,26.42,-21.1
5.222,24.36,-10.23,26.42,-22.8
5.239,24.11,-10.84,26.43,-24.2
5.255,23.90,-11.34,26.45,-25.4
5.272,23.73,-11.69,26.45,-26.2
5.289,23.63,-11.92,26.47,-26.8
5.305,23.59,-12.01,26.47,-27.0
5.322,23.60,-11.97,26.47,-26.9
5.339,23.68,-11.80,26.46,-26.5
5.355,23.83,-11.49,26.45,-25.7
5.372,24.02,-11.05,26.44,-24.7
5.389,24.26,-10.48,26.42,-23.4
5.405,24.54,-9.776,26.42,-21.7
5.422,24.83,-8.963,26.40,-19.8
5.439,25.13,-8.032,26.39,-17.7
5.455,25.43,-6.999,26.37,-15.4
5.472,25.70,-5.888,26.37,-12.9
5.489,25.94,-4.702,26.36,-10.3
5.505,26.12,-3.447,26.35,-7.5
5.522,26.26,-2.158,26.35,-4.7
5.539,26.34,-0.832,26.35,-1.8
5.556,26.35,0.489,26.35,1.1
5.572,26.29,1.790,26.35,3.9
5.589,26.17,3.073,26.35,6.7
5.606,26.00,4.296,26.35,9.4
5.622,25.77,5.454,26.34,12.0
5.639,25.51,6.532,26.33,14.4
5.656,25.22,7.511,26.32,16.6
5.672,24.93,8.417,26.31,18.7
5.689,24.64,9.197,26.30,20.5
5.706,24.37,9.872,26.29,22.1
5.722,24.13,10.45,26.29,23.4
5.739,23.92,10.90,26.29,24.5
5.756,23.76,11.23,26.28,25.3
5.772,23.65,11.43,26.27,25.8
5.789,23.61,11.51,26.27,26.0
5.806,23.62,11.49,26.26,25.9
