m = 72.36
t,x,y,r,θ
0.000,26.69,4.562,27.08,9.7
0.017,26.70,4.504,27.08,9.6
0.033,26.73,4.413,27.09,9.4
0.050,26.76,4.253,27.10,9.0
0.067,26.80,4.049,27.11,8.6
0.083,26.86,3.798,27.13,8.0
0.100,26.92,3.515,27.15,7.4
0.117,26.97,3.188,27.16,6.7
0.133,27.02,2.804,27.16,5.9
0.150,27.05,2.389,27.16,5.0
0.167,27.09,1.943,27.16,4.1
0.184,27.13,1.473,27.17,3.1
0.200,27.16,0.986,27.17,2.1
0.217,27.17,0.482,27.18,1.0
0.234,27.18,-2.938E-2,27.18,-0.1
0.250,27.17,-0.535,27.17,-1.1
0.267,27.15,-1.036,27.17,-2.2
0.284,27.14,-1.526,27.18,-3.2
0.300,27.10,-2.008,27.18,-4.2
0.317,27.07,-2.461,27.18,-5.2
0.334,27.02,-2.891,27.18,-6.1
0.350,26.99,-3.291,27.19,-7.0
0.367,26.94,-3.647,27.19,-7.7
0.384,26.90,-3.962,27.19,-8.4
0.400,26.85,-4.236,27.19,-9.0
0.417,26.82,-4.458,27.19,-9.4
0.434,26.79,-4.638,27.19,-9.8
0.450,26.78,-4.769,27.20,-10.1
0.467,26.77,-4.845,27.20,-10.3
0.484,26.76,-4.872,27.20,-10.3
0.501,26.75,-4.843,27.19,-10.3
0.517,26.77,-4.758,27.19,-10.1
0.534,26.79,-4.628,27.19,-9.8
0.551,26.82,-4.447,27.18,-9.4
0.567,26.85,-4.209,27.18,-8.9
0.584,26.90,-3.940,27.18,-8.3
0.601,26.93,-3.612,27.17,-7.6
0.617,26.97,-3.243,27.17,-6.9
0.634,27.02,-2.837,27.17,-6.0
0.651,27.04,-2.412,27.15,-5.1
0.667,27.08,-1.962,27.15,-4.1
0.684,27.10,-1.480,27.14,-3.1
0.701,27.12,-0.983,27.14,-2.1
0.717,27.14,-0.484,27.14,-1.0
0.734,27.14,2.504E-2,27.14,0.1
0.751,27.13,0.526,27.14,1.1
0.767,27.11,1.027,27.13,2.2
0.784,27.09,1.516,27.13,3.2
0.801,27.05,1.980,27.13,4.2
0.817,27.01,2.422,27.12,5.1
0.834,26.97,2.824,27.12,6.0
0.851,26.92,3.203,27.11,6.8
0.868,26.88,3.530,27.11,7.5
0.884,26.83,3.821,27.10,8.1
0.901,26.79,4.055,27.09,8.6
0.918,26.77,4.248,27.10,9.0
0.934,26.74,4.381,27.10,9.3
0.951,26.74,4.463,27.11,9.5
0.968,26.72,4.510,27.10,9.6
0.984,26.73,4.479,27.10,9.5
1.001,26.74,4.400,27.09,9.3
1.018,26.76,4.277,27.10,9.1
1.034,26.80,4.099,27.11,8.7
1.051,26.84,3.869,27.11,8.2
1.068,26.87,3.587,27.11,7.6
1.084,26.91,3.275,27.11,6.9
1.101,26.95,2.921,27.11,6.2
1.118,27.00,2.521,27.11,5.3
1.134,27.03,2.101,27.11,4.4
1.151,27.07,1.652,27.12,3.5
1.168,27.10,1.177,27.13,2.5
1.185,27.13,0.684,27.13,1.4
1.201,27.14,0.195,27.14,0.4
1.218,27.14,-0.302,27.15,-0.6
1.235,27.14,-0.798,27.15,-1.7
1.251,27.12,-1.290,27.15,-2.7
1.268,27.10,-1.760,27.16,-3.7
1.285,27.07,-2.218,27.16,-4.7
1.301,27.03,-2.648,27.16,-5.6
1.318,27.00,-3.043,27.17,-6.4
1.335,26.95,-3.418,27.17,-7.2
1.351,26.91,-3.752,27.17,-7.9
1.368,26.87,-4.043,27.17,-8.6
1.385,26.83,-4.294,27.17,-9.1
1.401,26.79,-4.484,27.17,-9.5
1.418,26.77,-4.636,27.17,-9.8
1.435,26.75,-4.737,27.16,-10.0
1.451,26.74,-4.785,27.17,-10.1
1.468,26.74,-4.782,27.16,-10.1
1.485,26.75,-4.723,27.16,-10.0
1.502,26.77,-4.624,27.16,-9.8
1.518,26.79,-4.470,27.16,-9.5
1.535,26.82,-4.260,27.16,-9.0
1.552,26.86,-4.013,27.16,-8.5
1.568,26.90,-3.714,27.16,-7.9
1.585,26.93,-3.367,27.14,-7.1
1.602,26.98,-2.992,27.15,-6.3
1.618,27.05,-2.145,27.14,-4.5
1.635,27.06,-2.148,27.14,-4.5
1.652,27.09,-1.689,27.14,-3.6
1.668,27.10,-1.211,27.13,-2.6
1.685,27.11,-0.715,27.12,-1.5
1.702,27.11,-0.215,27.11,-0.5
1.718,27.11,0.280,27.11,0.6
1.735,27.10,0.771,27.11,1.6
1.752,27.08,1.252,27.11,2.6
1.768,27.05,1.715,27.11,3.6
1.785,27.02,2.159,27.10,4.6
1.802,26.99,2.566,27.11,5.4
1.818,26.95,2.952,27.11,6.3
1.835,26.91,3.294,27.11,7.0
1.852,26.86,3.586,27.10,7.6
1.869,26.83,3.845,27.11,8.2
1.885,26.80,4.050,27.11,8.6
1.902,26.78,4.209,27.11,8.9
1.919,26.76,4.319,27.11,9.2
1.935,26.76,4.377,27.12,9.3
1.952,26.76,4.378,27.12,9.3
1.969,26.77,4.328,27.12,9.2
1.985,26.79,4.224,27.12,9.0
2.002,26.81,4.070,27.12,8.6
2.019,26.84,3.871,27.12,8.2
